season,week,home,road,line,actual,hscore,vscore,linesag,linemass,linepfz,linelaz,linemoore,linesagr,linewayward,lineargh,linehow,linesagpred,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linepugh,linebihl,linecurry,lineclean,linefei,linemedian,lineharville,linesaggm,linemidweek,linedonchess,lineespn,linetalis,lineopen,linepig,linepiratings,linecons,linecong,linedwig,linepibias,linel2,lineteamrank,linelog,linefluker,linepimean,lineca,linel2hf,linekerns,linekeep,linebig200,linecfp,linestd,total,phcover,phwin
2025,2,Michigan St.,Western Mich.,21.0,17,23,6,20.92,17.18,1.36,11.42,12.03,20.96,9.57,,7.0,20.96,11.85,9.67,16.89,10.8,3,,20.61,,17.72,15.41,,16.03,1.0,10.2,16.72,16.26,20.9,21.0,15.5,11.8,13.76,17.5,22.0,30.6,18.85,20.5,13.0,27.6,,26.7,,18.4,26.8,21.0,,27.1,21.07,12.02,,7.25,29,0.4069161357,0.8334087072
2025,2,Minnesota,Buffalo,17.5,13,23,10,21.27,26.33,15.69,19.51,16.81,21.31,17.12,,12.0,21.31,27.07,14.02,20.89,19.75,3,,18.65,,14.94,24.82,,20.62,9.5,21.6,21.08,23.26,21.25,17.5,14.0,18.94,28.39,18.5,17.0,27.8,24.12,6.44,22.0,26.6,,20.9,,17.0,25.3,17.5,,39.05,27.63,18.68,,6.92,33,0.5776078236,0.8861737601
2025,2,Mississippi,Georgia St.,33.5,56,63,7,37.1,33.41,40.49,29.1,24.89,37.18,27.46,,27.5,37.18,34.04,18.75,33.65,31.63,6,,29.9,,30.78,38.71,,35.44,25.0,31.1,34.32,31.72,37.06,35.0,24.5,22.73,42.47,36.5,39.0,36.2,37.05,33.33,37.0,37.1,,34.6,,36.7,36.2,33.5,,56.7,44.0,26.87,,8.32,70,0.5033385667,0.9697660034
2025,2,NC St.,East Carolina,14.0,7,24,17,16.08,10.09,8.64,8.68,4.81,16.11,11.19,,10.0,16.11,15.6,4.26,11.33,4.73,4,,15.88,,14.94,10.93,,8.45,0.01,10.0,11.88,13.77,16.06,14.0,6.8,5.18,7.65,12.5,15.0,14.9,13.21,17.46,12.0,14.9,,13.9,,12.4,14.2,14.0,,11.75,15.44,6.43,,4.52,41,0.4357405256,0.7537992232
2025,2,North Carolina,TCU,-3.5,-34,14,48,2.35,-5.66,1.86,-3.04,-17.38,2.35,-2.94,,-2.5,2.35,-2.82,-4.69,-5.68,-9.12,-1,,-5.01,,-3.39,-3.99,,-9.18,0.01,-4.2,-4.7,-2.26,2.35,-3.5,-3.4,-2.12,-7.84,2.0,-8.0,-13.9,-6.66,-17.95,-7.0,-13.6,,-5.9,,-2.6,-10.7,-3.5,,-8.8,-15.67,-10.67,,5.5,62,0.4483807692,0.3676540658
2025,2,Ohio St.,Texas,0.5,7,14,7,6.31,10.1,4.93,6.6,9.01,6.32,9.23,,13.0,6.32,9.75,8.97,6.02,9.16,4,,3.28,,2.72,3.64,,8.2,6.0,12.3,5.93,5.86,6.31,2.0,3.3,-0.72,10.04,3.0,2.0,5.4,4.28,-0.57,2.0,5.5,,3.1,,2.6,4.9,2.0,,3.35,10.38,4.75,,3.4,21,0.6330797793,0.6446143462
2025,2,Oregon St.,California,-1.5,-19,15,34,-2.72,-0.14,-6.96,1.18,9.4,-2.74,2.51,,5.0,-2.74,-4.02,-4.32,-3.12,-6.05,1,,-5.45,,1.89,-2.51,,-1.14,0.01,-2.1,-2.72,-3.43,-2.72,1.5,3.4,-1.31,-9.54,1.5,4.0,-10.7,-1.18,3.45,-10.0,-11.7,,4.2,,1.9,-7.6,-1.5,,-14.35,-7.65,-8.11,,5.26,49,0.4614142392,0.4259999751
2025,2,Penn St.,Nevada,43.0,35,46,11,54.26,36.36,41.81,29.93,46.12,54.37,32.76,,32.5,54.37,40.72,18.95,41.66,33.39,7,,50.31,,35.16,39.59,,44.66,27.5,35.3,41.27,30.94,54.2,44.0,34.0,38.89,38.54,45.0,39.0,51.4,43.1,52.35,33.0,53.3,,47.2,,45.2,50.0,43.0,,49.9,48.2,34.77,,10.74,57,0.4721299862,0.985135354
2025,2,Purdue,Ball St.,17.5,31,31,0,12.76,15.61,-13.71,10.93,10.43,12.78,9.85,,7.0,12.78,7.66,3.69,9.31,7.48,2,,16.43,,7.17,14.63,,10.67,1.0,8.7,10.03,13.32,12.75,17.5,6.7,6.84,9.65,16.5,18.0,20.7,9.91,-3.94,4.0,18.9,,17.6,,16.0,18.4,16.5,,9.4,10.16,5.32,,6.84,31,0.3178185429,0.7049191937
2025,2,Rutgers,Ohio,15.5,3,34,31,10.65,11.53,-1.06,7.07,3.09,10.67,7.39,,-1.5,10.67,5.12,4.23,9.56,5.38,-2,,11.81,,6.06,10.78,,8.83,-10.5,7.0,10.23,12.88,10.64,15.5,4.6,11.46,7.98,10.5,12.0,21.8,9.81,15.59,8.0,20.2,,14.4,,10.8,19.0,14.5,,7.25,8.66,14.62,,6.35,65,0.3641245388,0.711988959
