season,week,home,road,line,actual,hscore,vscore,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linebihl,lineround,linefei,linemedian,lineharville,linesaggm,lineespn,linefox,lineopen,linepig,linecons,linecong,linepibias,linel2,lineteamrank,lineash,linepimean,lineca,linekeep,linekerns,linel2hf,linelog,linedwig,linepiratings,linetalis,linedonchess,linefeng,linemidweek,lineclean,linecurry,linepugh,linestd,total,phcover,phwin
2023,2,Iowa,Utah St.,24.0,10,24,14,24.05,19.93,27.35,15.13,21.55,17.9,24.12,15.0,23.89,13.0,24.11,8.09,23.39,16.03,22.85,21.17,2.0,31.65,26.48,,11.54,,,21.4,23.95,21.53,24.05,22.39,24.0,19.0,35.0,,32.29,29.2,,24.6,,25.9,24.0,33.2,22.7,,,29.0,27.0,25.64,23.0,,24.5,9.5,29.57,27.88,7.23,38,0.4737170161,0.9049001451
2023,2,Kentucky,Ball St.,26.5,30,44,14,18.85,20.53,25.82,23.39,16.89,18.8,18.9,14.0,23.9,13.0,18.9,10.4,25.19,16.09,20.8,18.14,5.0,23.35,26.75,,13.83,,,18.6,21.24,14.37,18.85,22.96,19.0,27.0,32.0,,29.52,27.7,,23.7,,25.7,26.0,24.5,25.2,,,23.0,27.9,21.28,23.0,,25.5,1.5,21.2,25.52,6.28,58,0.3692237739,0.8884788551
2023,2,Liberty,Bowling Green,7.5,10,34,24,11.11,11.94,18.87,12.01,12.41,17.05,11.13,7.0,12.92,16.5,11.12,8.98,12.93,11.46,11.38,7.68,7.0,8.25,14.7,,6.33,,,15.8,11.3,9.07,11.1,8.58,16.0,11.5,15.0,,-7.88,11.7,,14.0,,10.5,8.5,7.4,10.1,,,9.0,9.8,12.7,7.7,,9.5,11.0,11.99,19.17,4.71,58,0.5926246276,0.7540230819
2023,2,Louisiana-Monroe,Army,-8.5,4,17,13,-9.23,-6.57,-11.47,-6.36,-7.78,-7.77,-9.28,-7.0,-7.69,-10.5,-9.27,-3.22,-10.64,-4.11,-8.79,-5.8,-6.0,-10.55,-13.87,,-2.83,,,-8.6,-7.92,-5.51,-9.23,-5.08,-5.0,-7.5,-19.0,,-18.0,-7.4,,-9.9,,-5.7,-8.5,-20.9,-3.5,,,-14.0,-5.0,-8.9,-5.2,,-8.0,-2.5,-14.43,-14.25,4.41,30,0.4929786737,0.2968488717
2023,2,Miami (Fla.),Miami (Ohio),16.5,35,38,3,16.02,14.04,14.22,5.28,11.92,6.05,16.07,10.0,17.05,7.5,16.06,4.99,11.83,7.75,11.71,5.29,1.0,5.15,17.18,,8.42,,,7.9,12.01,13.87,16.01,20.75,7.0,17.0,19.0,,15.96,17.4,,14.3,,18.0,16.0,7.3,12.1,,,6.0,19.6,8.73,12.6,,16.5,3.0,7.82,14.61,5.08,41,0.3869043281,0.7588448861
2023,2,Michigan,East Carolina,36.0,27,30,3,30.96,26.61,27.31,34.49,19.66,23.02,31.06,21.0,29.05,21.0,31.06,19.28,33.96,17.26,28.39,22.88,8.0,33.45,32.36,,13.0,,,25.2,27.8,25.02,30.96,27.59,28.0,36.0,36.0,,40.94,41.3,,35.3,,37.5,35.0,44.0,30.8,,,23.0,37.0,24.84,25.5,,36.5,14.5,26.76,32.85,8.05,33,0.3344770659,0.944660854
2023,2,Michigan St.,Central Mich.,14.0,24,31,7,15.84,14.44,21.94,8.29,15.78,14.14,15.89,13.0,16.31,11.0,15.88,8.86,17.37,13.73,16.26,13.61,5.0,25.75,20.79,,9.88,,,16.1,16.0,18.28,15.84,19.36,18.0,14.0,23.0,,16.47,20.7,,12.8,,19.9,14.5,15.7,17.9,,,21.0,22.2,18.86,7.9,,14.0,1.5,24.33,20.3,5.26,38,0.5537545598,0.8345702783
2023,2,Minnesota,Nebraska,6.5,3,13,10,8.06,12.14,11.43,33.17,8.2,8.32,8.08,8.0,12.15,13.0,8.08,12.1,13.6,,11.64,10.16,5.0,9.85,6.67,,16.13,,,13.7,10.57,10.32,8.06,7.15,13.0,7.5,7.0,,26.71,12.5,,8.6,,11.4,7.5,15.4,22.6,,,13.0,11.1,15.44,4.5,,6.5,4.0,10.57,7.68,5.65,23,0.6198426801,0.7551712126
2023,2,North Texas,California,-6.0,-37,21,58,-5.43,-3.71,-9.28,4.82,-6.09,-0.1,-5.46,-2.0,-5.15,5.5,-5.46,0.6,-5.22,1.48,-2.87,2.93,-1.0,-1.55,-6.48,,-0.33,,,-3.0,-3.86,-0.36,-5.42,-11.04,2.0,-7.0,-7.0,,-4.65,-6.2,,-3.6,,-8.0,-6.0,-1.8,-8.5,,,-4.0,-8.8,-3.09,-4.2,,-6.5,13.0,4.27,-7.75,4.81,79,0.5748402862,0.4313118752
2023,2,Oklahoma,Arkansas St.,36.5,73,73,0,34.92,26.32,30.39,21.08,27.52,27.37,35.03,23.0,29.8,27.5,35.03,15.86,32.64,17.29,28.94,26.26,9.0,32.25,31.54,,14.25,,,26.7,29.5,24.31,34.92,28.07,35.0,33.0,40.0,,28.29,35.8,,29.2,,33.1,35.5,37.3,37.0,,,32.0,32.5,26.37,25.0,,36.5,10.5,35.49,31.36,7.46,73,0.3332410478,0.9505095062
2023,2,Penn St.,West Va.,20.5,23,38,15,15.95,17.81,16.44,33.77,13.93,12.14,15.98,15.0,18.18,15.5,15.99,16.72,21.16,15.46,19.15,15.23,4.0,26.35,20.06,,12.38,,,18.4,18.3,19.43,15.95,19.98,23.0,17.5,22.0,,23.91,20.4,,20.1,,20.9,20.5,25.7,23.6,,,21.0,18.2,20.78,17.0,,20.5,18.0,25.21,20.51,4.89,53,0.4676121951,0.8755203189
2023,2,Purdue,Fresno St.,3.5,-4,35,39,7.33,4.58,8.55,0.02,6.98,4.53,7.35,3.0,4.64,1.5,7.34,4.42,5.06,5.34,4.13,0.79,-1.0,-6.95,7.42,,-1.79,,,1.9,4.56,4.68,7.33,10.56,-2.0,6.0,1.0,,7.1,10.5,,3.1,,11.5,3.5,-3.6,7.8,,,2.0,12.1,3.07,3.1,,3.5,0.01,-4.49,6.66,4.46,74,0.5152380433,0.59888327
2023,2,Rutgers,Northwestern,6.0,17,24,7,1.73,6.07,-0.12,20.36,0.46,8.76,1.72,9.0,4.1,2.5,1.73,11.96,2.48,19.11,4.19,3.71,-3.0,-1.95,3.81,,10.29,,,-2.9,2.49,2.2,1.73,-0.52,2.0,4.0,5.0,,16.45,4.2,,7.1,,6.2,5.5,0.5,-0.4,,,-3.0,4.5,-0.71,5.4,,6.5,2.0,5.14,-0.28,5.58,31,0.4571696282,0.598322879
2023,2,SMU,Louisiana Tech,21.0,24,38,14,19.87,18.1,21.18,24.74,16.46,21.06,20.49,16.0,20.25,16.5,20.3,11.68,23.49,15.22,20.12,17.11,3.0,23.25,21.9,,15.04,,,18.8,20.11,12.89,18.35,19.31,25.0,14.5,23.0,,27.66,21.6,,16.0,,18.4,21.0,27.7,24.5,,,30.0,21.3,21.67,18.0,,20.0,11.0,27.73,19.97,5.07,52,0.4789432637,0.8863485843
