season,week,home,road,line,actual,hscore,vscore,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,linewayward,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linedunk,linebill,linepugh,linebihl,linecurry,lineround,lineclean,linefei,linemedian,lineharville,linesaggm,linemidweek,linedonchess,lineespn,linetalis,lineopen,linepig,linepiratings,linecons,linecong,linedwig,linepibias,linel2,lineteamrank,linelog,linepimean,lineca,linel2hf,linekerns,linekeep,linebig200,linecfp,linestd,total,phcover,phwin
2024,2,Oklahoma,Temple,42.5,48,51,3,39.51,36.72,37.94,42.03,34.27,39.67,39.6,35.6,25.0,45.18,33.0,39.59,32.17,48.62,19.09,40.37,33.37,11.0,46.35,45.35,,32.44,44.62,,42.34,,,40.5,40.36,35.53,39.45,42.5,30.0,40.21,47.33,39.5,50.0,48.4,44.04,43.27,46.0,49.9,,42.6,,46.7,42.5,,57.3,58.28,44.05,33.2,9.2,54,0.453790616,0.9861057497
2024,2,Pittsburgh,Kent,24.0,31,55,24,27.69,22.88,25.79,17.71,21.15,12.3,27.76,16.96,16.0,27.71,16.5,27.76,20.28,26.56,14.82,23.81,23.72,5.0,26.15,31.7,,15.22,27.54,,27.72,,,24.8,24.85,22.07,27.66,24.0,23.0,24.91,28.34,23.0,33.0,29.5,22.2,16.89,27.0,27.8,,23.8,,27.5,24.0,,22.7,28.32,31.43,21.4,5.9,79,0.4955245229,0.9201181628
2024,2,Rice,Sam Houston St.,10.0,-20,14,34,10.55,11.25,6.54,7.49,8.29,3.49,10.58,7.2,6.0,10.63,14.0,10.58,11.58,8.6,11.31,10.54,3.87,4.0,18.45,14.75,,9.11,12.2,,8.83,,,2.8,10.61,6.68,10.54,10.0,-2.7,11.43,10.63,12.5,12.0,16.6,11.31,17.42,7.0,17.6,,14.4,,16.2,10.0,,12.7,17.99,16.87,8.7,4.63,48,0.5130246397,0.7380523616
2024,2,South Alabama,North Texas,6.0,-14,38,52,3.15,12.66,10.49,25.56,8.58,2.34,3.14,8.12,7.0,17.37,10.5,3.15,10.12,14.64,11.17,10.59,12.41,1.0,18.55,7.21,,17.44,10.56,,13.76,,,12.4,9.91,9.31,3.14,5.5,6.8,5.58,16.67,6.5,6.0,9.7,13.29,4.75,11.0,8.6,,6.9,,8.3,6.5,,29.75,13.48,9.06,13.8,6.1,90,0.6063773236,0.7332545477
2024,2,South Carolina,Old Dominion,21.0,4,23,19,18.28,8.45,21.13,11.36,16.58,23.47,18.32,19.01,16.0,16.16,11.0,18.32,4.3,15.7,8.93,17.69,9.01,5.0,23.05,24.65,,12.17,21.66,,19.74,,,17.3,18.32,18.69,18.25,21.0,20.0,19.01,17.35,17.0,24.0,22.6,22.33,18.22,18.0,23.6,,20.0,,22.1,21.0,,18.6,25.69,15.85,24.6,5.4,42,0.4217520819,0.8543004875
2024,2,Stanford,TCU,-9.0,-7,27,34,-12.78,-8.38,-12.42,-28.33,-8.29,-14.72,-12.82,-10.49,-1.0,-15.03,-11.5,-12.82,-4.8,-14.25,-6.17,-9.48,-3.61,-4.0,-13.35,-9.6,,-10.33,-12.8,,-12.86,,,-10.3,-10.1,-9.46,-12.76,-9.5,-7.2,-2.97,-14.31,-10.5,-8.0,-2.8,-12.3,-2.12,-12.0,-4.2,,-9.9,,-5.1,-9.0,,-14.3,-9.75,-1.71,-4.6,5.02,61,0.4885009656,0.2845596622
2024,2,Syracuse,Ohio,18.0,16,38,22,15.98,-2.06,7.13,-7.59,7.38,15.16,16.01,1.73,13.0,0.23,0.5,16.02,-3.31,6.0,-0.16,7.64,-1.41,-2.0,-4.65,18.83,,-9.22,13.99,,-5.44,,,2.2,7.67,9.88,15.96,17.5,15.5,10.68,2.53,15.0,22.0,20.4,7.64,15.86,9.0,21.5,,15.5,,19.4,17.0,,-1.7,7.7,9.96,4.8,9.26,60,0.28646518,0.6611968781
2024,2,Texas,Colorado St.,32.0,52,52,0,35.55,33.69,34.46,47.13,28.59,53.45,35.63,31.04,21.0,36.52,29.0,35.64,32.16,37.99,18.42,35.3,28.05,10.0,41.45,35.68,,27.44,36.95,,40.92,,,33.9,35.66,31.4,35.51,32.0,28.5,36.29,36.44,36.5,34.0,44.4,36.74,37.48,39.0,45.4,,35.7,,43.3,32.5,,41.6,42.29,35.9,30.4,7.91,52,0.5738068394,0.9767284001
2024,2,Texas A&M,Notre Dame,3.0,-10,13,23,-1.95,-7.87,-4.68,-11.35,-3.19,-6.35,-1.96,-3.05,4.0,-9.71,-8.0,-1.96,-6.89,-2.49,-4.11,-3.81,-7.81,-12.0,-11.25,-0.77,,-7.56,-4.43,,-12.29,,,-4.1,-3.65,-3.24,-1.94,3.0,0.5,-3.59,-7.49,1.5,-1.0,1.0,-1.21,-0.4,-7.0,2.4,,-0.5,,1.3,1.5,,-3.7,-3.98,-3.97,6.7,4.06,36,0.3388488223,0.4080670059
2024,2,Texas-San Antonio,Kennesaw St.,25.0,12,28,16,31.02,,30.35,32.12,24.23,,31.09,19.24,21.0,,30.5,31.09,,27.6,19.61,27.79,19.23,7.0,42.25,34.28,,29.11,33.97,,44.44,,,19.7,27.87,19.81,30.98,25.0,24.0,21.92,32.68,21.5,,26.0,27.87,22.11,38.0,26.9,,29.2,,26.3,25.0,,15.85,40.46,49.06,20.3,7.65,44,0.5628991857,0.9426017975
2024,2,Troy St.,Nevada,9.0,-2,26,28,13.05,31.85,20.28,40.97,14.26,1.62,12.76,18.13,10.0,33.61,21.5,11.93,30.89,22.64,18.49,20.22,24.55,2.0,27.55,15.19,,30.25,16.28,,32.48,,,17.8,17.95,15.47,14.51,9.0,15.5,11.5,27.37,15.5,16.0,17.8,26.68,12.14,22.0,17.9,,11.4,,17.5,10.5,,41.75,21.56,15.05,20.5,9.22,54,0.7294784991,0.8646676716
2024,2,USC,LSU,-4.0,7,27,20,-6.13,-8.12,-4.55,-14.16,-2.76,-9.52,-6.14,-8.33,-2.0,-8.97,-9.5,-6.14,-7.67,-7.31,-1.46,-6.98,-5.91,-3.0,-12.7,-6.42,,-3.61,-6.2,,-11.68,,,-7.7,-6.36,-4.62,-6.12,-4.5,-5.0,-2.13,-5.08,-6.5,-6.0,-7.3,-4.01,3.32,-12.0,-9.2,,-7.4,,-8.2,-4.5,,-9.6,-11.72,-6.3,-16.9,3.48,47,0.4272536342,0.3337776757
2024,2,Vanderbilt,Virginia Tech,-13.5,7,34,27,-13.54,-13.59,-7.85,-14.22,-6.54,-18.79,-13.58,-3.88,-7.0,-13.15,-6.5,-13.57,-13.82,-9.59,-10.27,-12.45,-15.92,-4.0,-22.65,-18.15,,-14.5,-8.27,,-21.63,,,-10.3,-13.33,-5.79,-13.51,-13.5,-10.8,-3.0,-12.51,-12.0,-16.0,-8.1,-17.0,-18.38,-25.0,-9.1,,-14.3,,-9.8,-13.5,,-3.2,-22.81,-15.1,-4.7,5.47,61,0.5249312909,0.2292021108
