season,week,away,home,market_home_margin_close,canonical_model_id,model_name,prediction_home_margin,picker,source_table,orientation_method
2026,2,Jacksonville St.,North Dakota St.,7.0,espn_fpi,ESPN FPI,2.8,ESPN FPI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,espn_fpi,ESPN FPI,-3.3,ESPN FPI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,espn_fpi,ESPN FPI,1.7,ESPN FPI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,espn_fpi,ESPN FPI,27.6,ESPN FPI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,espn_fpi,ESPN FPI,6.3,ESPN FPI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,fei,FEI Projections,13.6,FEI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,fei,FEI Projections,29.4,FEI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,fei,FEI Projections,0.2,FEI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,fei,FEI Projections,-7.9,FEI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,fei,FEI Projections,6.6,FEI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,fei,FEI Projections,5.1,FEI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,fei,FEI Projections,30.2,FEI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,fei,FEI Projections,-1.1,FEI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,harville,David Harville,9.1,Harville,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,harville,David Harville,26.7,Harville,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,harville,David Harville,5.0,Harville,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,harville,David Harville,9.9,Harville,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,harville,David Harville,4.3,Harville,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,harville,David Harville,7.6,Harville,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,harville,David Harville,23.8,Harville,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,harville,David Harville,0.9,Harville,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,linecfbp_jp,JP+,2.9,JP+,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,linecfbp_jp,JP+,28.4,JP+,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,linecfbp_jp,JP+,6.2,JP+,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,linecfbp_jp,JP+,6.9,JP+,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,linecfbp_jp,JP+,13.2,JP+,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,linecfbp_jp,JP+,3.0,JP+,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,linecfbp_jp,JP+,25.6,JP+,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,linecfbp_jp,JP+,3.9,JP+,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,linecfbp_john_harris,John Harris,6.4,John Harris,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,linecfbp_john_harris,John Harris,38.8,John Harris,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,linecfbp_john_harris,John Harris,5.1,John Harris,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,linecfbp_john_harris,John Harris,7.4,John Harris,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,linecfbp_john_harris,John Harris,10.8,John Harris,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,linecfbp_john_harris,John Harris,3.9,John Harris,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,linecfbp_john_harris,John Harris,30.9,John Harris,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,linecfbp_john_harris,John Harris,4.6,John Harris,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,keeper,Keeper,23.4,Keeper,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,keeper,Keeper,50.9,Keeper,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,keeper,Keeper,9.6,Keeper,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,keeper,Keeper,11.6,Keeper,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,keeper,Keeper,10.5,Keeper,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,keeper,Keeper,2.0,Keeper,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,keeper,Keeper,25.5,Keeper,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,keeper,Keeper,5.5,Keeper,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,linept_laz,Laz Index,10.0,LAZ Index,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,linept_laz,Laz Index,25.0,LAZ Index,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,linept_laz,Laz Index,2.0,LAZ Index,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,linept_laz,Laz Index,13.0,LAZ Index,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,linept_laz,Laz Index,2.0,LAZ Index,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,linept_laz,Laz Index,6.0,LAZ Index,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,linept_laz,Laz Index,24.0,LAZ Index,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,linept_laz,Laz Index,-1.0,LAZ Index,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,massey,Massey Ratings,10.6,Massey,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,massey,Massey Ratings,27.4,Massey,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,massey,Massey Ratings,2.9,Massey,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,massey,Massey Ratings,13.2,Massey,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,massey,Massey Ratings,3.6,Massey,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,massey,Massey Ratings,7.2,Massey,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,massey,Massey Ratings,27.0,Massey,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,massey,Massey Ratings,0.0,Massey,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,linecfbp_mcillece_sports,McIllece Sports,10.2,McIllece Sports,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,linecfbp_mcillece_sports,McIllece Sports,38.3,McIllece Sports,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,linecfbp_mcillece_sports,McIllece Sports,4.6,McIllece Sports,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,linecfbp_mcillece_sports,McIllece Sports,5.8,McIllece Sports,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,linecfbp_mcillece_sports,McIllece Sports,17.8,McIllece Sports,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,linecfbp_mcillece_sports,McIllece Sports,0.3,McIllece Sports,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,linecfbp_mcillece_sports,McIllece Sports,20.3,McIllece Sports,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,linecfbp_mcillece_sports,McIllece Sports,5.2,McIllece Sports,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,moore_ratings,Moore Power Ratings,14.9,Moore Ratings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,moore_ratings,Moore Power Ratings,34.5,Moore Ratings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,moore_ratings,Moore Power Ratings,7.8,Moore Ratings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,moore_ratings,Moore Power Ratings,8.2,Moore Ratings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,moore_ratings,Moore Power Ratings,5.7,Moore Ratings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,moore_ratings,Moore Power Ratings,3.2,Moore Ratings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,moore_ratings,Moore Power Ratings,23.7,Moore Ratings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,moore_ratings,Moore Power Ratings,2.2,Moore Ratings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,linecfbp_oddstrader_ai,OddsTrader AI,7.0,OddsTrader AI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,linecfbp_oddstrader_ai,OddsTrader AI,32.0,OddsTrader AI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,linecfbp_oddstrader_ai,OddsTrader AI,-3.0,OddsTrader AI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,linecfbp_oddstrader_ai,OddsTrader AI,7.0,OddsTrader AI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,linecfbp_oddstrader_ai,OddsTrader AI,7.0,OddsTrader AI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,linecfbp_oddstrader_ai,OddsTrader AI,4.0,OddsTrader AI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,linecfbp_oddstrader_ai,OddsTrader AI,32.0,OddsTrader AI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,linecfbp_oddstrader_ai,OddsTrader AI,8.0,OddsTrader AI,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,linecfbp_pearatings,PEARatings,7.1,PEARatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,linecfbp_pearatings,PEARatings,35.2,PEARatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,linecfbp_pearatings,PEARatings,4.3,PEARatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,linecfbp_pearatings,PEARatings,2.0,PEARatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,linecfbp_pearatings,PEARatings,4.4,PEARatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,linecfbp_pearatings,PEARatings,3.7,PEARatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,linecfbp_pearatings,PEARatings,31.2,PEARatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,linecfbp_pearatings,PEARatings,4.4,PEARatings,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,piratings,Pi-Ratings,18.3,PiRate,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,piratings,Pi-Ratings,53.5,PiRate,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,piratings,Pi-Ratings,3.1,PiRate,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,piratings,Pi-Ratings,10.7,PiRate,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Sacramento St.,Eastern Mich.,9.5,piratings,Pi-Ratings,15.4,PiRate,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Hawaii,Stanford,4.0,piratings,Pi-Ratings,12.7,PiRate,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,New Mexico St.,Florida St.,32.0,piratings,Pi-Ratings,35.4,PiRate,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Memphis,UNLV,4.5,piratings,Pi-Ratings,2.3,PiRate,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,North Carolina,TCU,9.0,piratings_bias,PI-Rate Bias,17.4,PiRate: Bias,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,San Jose St.,USC,38.5,piratings_bias,PI-Rate Bias,54.5,PiRate: Bias,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,NC St.,Virginia,4.0,piratings_bias,PI-Rate Bias,4.4,PiRate: Bias,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
2026,2,Jacksonville St.,North Dakota St.,7.0,piratings_bias,PI-Rate Bias,14.6,PiRate: Bias,tableau_embedding_api_tooltip,explicit_home_margin_tooltip
