lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepve,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linesag,linesagpred,linesaggm,linesagr,linenewbury,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linefluker,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineavg,linestd,linemedian,phcover,phwin,lineca
-7.5,-6.5,Fresno St.,San Jose St.,0.5,,,,-15.24,-18.72,-8.942,-4.13,-3.093,-0.8,-14.5,-12.6,-15.1,-7.6,0.96,-6.01,-4.0,,-7.1,-1.99,-4.14,-3.82,1.73,,-5.57,-7.0,-8.470099819,-9.06,,,-10.63148837,0,,-0.2,2.69,-10.45657295,2.7,-4.024,,2.0,-10.7,-9.5,,-11.949,-1.0,-6.89,-2.682,-0.3,-6.09,,-5.965625977,5.5293261491,-6.01,0.5091345934,0.3618051244,-6.5
3.5,7.0,Ohio,South Alabama,-1.5,,,,-4.68,5.18,-5.825,-0.36,-5.201,-2.9,0.5,0.8,0.6,0.4,-1.04,3.11,-3.0,,4.1,4.57,3.92,3.07,7.35,,4.4,1.0,4.354943222,-1.18,,,3.5549857257,0,,5.58,3.04,0.899521186,2.63,0.6458,,7.0,5.1,2.8,,-4.858,5.0,3.44,3.18,2.89,-2.35,,1.3843581117,3.4617633066,2.63,0.4032834271,0.5338228067,5.5
4.0,4.0,Mississippi St.,South Carolina,5.5,,,,-1.64,5.0,8.034,0.37,-5.925,3.5,9.1,9.0,11.6,4.1,16.02,4.49,3.0,,2.7,0.85,5.32,5.23,-12.22,,1.87,3.0,5.0733981247,3.62,,,9.3874126566,0,,4.71,4.3,1.030789037,0.06,3.9252,,7.0,2.4,7.7,,12.9535,1.0,5.62,5.32,8.08,7.51,,4.5294405356,4.9578677129,4.71,0.5091004798,0.6069485434,4.0
-3.0,-3.0,Connecticut,Southern Miss.,-1.0,,,,0.02,-2.95,-0.097,-5.71,-6.586,-4.1,-5.4,-5.1,-7.3,-1.4,-9.53,-3.62,12.5,,-3.0,4.01,-3.6,-3.52,19.91,,-4.67,-8.0,7.0420132042,-1.98,,,-4.997981766,0,,-1.89,2.03,0.309334235,0.53,-1.6893,,-9.0,-2.8,-0.8,,-4.956,-3.0,-1.01,,-4.27,-5.07,,-1.880414842,5.6741604177,-2.975,0.5191041103,0.4557474468,-3.0
20.5,20.0,Arkansas St.,TCU,13.0,,,,24.18,11.59,15.016,17.49,12.041,15.4,25.1,23.3,24.9,22.7,15.65,26.75,14.0,,17.5,17.84,20.2,20.62,15.7,,21.13,10.0,18.422398253,21.54,,,22.445991524,0,,17.76,16.86,16.638135347,14.73,22.9452,,19.2,22.0,21.3,,25.9,8.0,16.67,19.923,21.69,23.15,,19.061668247,4.2770198122,19.2,0.4837792314,0.8759878748,20.0
34.5,35.5,Kennesaw St.,Tennessee,25.0,,,,22.46,23.47,28.407,25.76,32.901,20.0,39.9,39.6,41.8,35.4,18.09,38.3,7.5,,30.5,29.71,30.6,33.12,29.03,,34.16,19.0,32.154004489,24.23,,,44.422117148,0,,21.83,28.77,30.159789457,24.78,31.9859,,24.0,33.6,33.1,,31.4475,9.0,31.06,39.534,38.39,35.39,,29.988143543,7.5942070224,30.6,0.4088405968,0.9553062444,35.0
30.0,30.0,Texas-San Antonio,Texas,22.0,,,,28.05,29.3,18.651,24.19,21.088,35.1,32.0,32.4,32.8,25.8,10.99,26.2,11.5,,26.5,25.47,28.52,30.17,29.98,,31.47,32.0,37.625466832,17.9,,,33.327423249,0,,18.96,25.19,17.412374952,21.85,31.6579,,29.0,34.3,25.7,,23.9715,13.0,28.62,28.548,23.43,24.51,,26.383288244,6.2063331066,26.5,0.4388580045,0.9385355854,30.0
15.0,17.0,Kentucky,Texas A&M,20.0,,,,29.43,22.14,13.664,17.81,20.864,26.5,23.9,25.6,25.6,16.8,14.23,17.54,21.5,,16.0,12.22,13.12,14.87,9.78,,20.97,29.0,22.756155369,19.96,,,27.682596256,0,,22.72,25.61,19.258832962,15.15,25.8596,,58.5,25.3,18.8,,15.5085,26.0,22.8,24.324,17.18,14.99,,21.295613097,8.0641651883,20.864,0.5708406686,0.8834219008,17.0
3.0,3.0,North Texas,Texas St.,-7.5,,,,-13.6,3.66,5.428,-11.43,-18.743,-12.0,-5.1,-3.8,-3.1,-8.6,-12.0,-8.14,-5.0,,2.7,-6.94,1.01,2.26,-27.28,,-10.19,-23.0,-7.361159702,-16.39,,,6.347987754,0,,-7.16,-7.79,-9.534250293,-8.11,-13.4906,,-21.0,-2.7,-0.1,,-3.5,-16.0,-5.03,-14.292,-6.85,-0.65,,-7.539865466,7.7381951288,-7.361159702,0.3299788362,0.3352066735,2.0
9.5,7.5,Houston,Texas Tech,13.0,,,,8.24,4.99,6.307,5.48,20.477,9.5,11.5,11.1,12.3,14.3,15.91,12.2,11.5,,8.7,4.5,9.43,12.09,-1.67,,3.33,9.0,9.6918844299,19.51,,,15.915563035,0,,9.98,16.92,18.930929948,1.35,19.6663,,9.0,3.4,9.3,,12.236,-16.0,16.13,20.661,11.6,12.61,,11.05636966,5.4253943991,11.5,0.5606263189,0.7443222574,8.0
3.5,6.0,Temple,Toledo,13.5,,,,9.47,0.69,7.31,10.07,17.053,4.4,0.3,3.1,2.8,14.7,15.97,10.19,22.0,,3.4,0.01,3.16,2.47,-8.99,,7.16,3.0,7.0304728559,13.37,,,9.0446546555,0,,15.95,4.99,13.430688886,1.42,18.6469,,3.1,8.5,13.3,,12.95,7.0,5.13,13.747,12.43,7.17,,8.1614247675,6.423021142,7.31,0.5365422436,0.6825962209,6.0
13.5,14.0,Purdue,UCLA,16.5,,,,13.97,10.6,14.312,11.58,19.28,16.5,12.4,14.9,15.0,9.5,12.02,11.96,10.5,,13.1,13.46,11.13,12.45,17.04,,15.11,14.0,11.829295998,8.65,,,13.980194448,0,,11.58,15.05,11.276990577,14.25,7.586,,24.0,18.8,11.1,,12.096,12.0,16.39,14.817,13.75,19.75,,13.789661649,3.2783507508,13.75,0.4963369133,0.8016406153,14.0
27.5,28.0,Utah St.,Utah,23.5,,,,28.75,15.07,32.293,29.75,28.229,28.9,31.7,31.1,33.9,28.2,14.14,30.66,16.5,,24.5,28.12,24.29,27.25,34.92,,31.58,39.0,25.078234096,28.8,,,31.705825954,0,,25.17,28.73,22.389513289,27.48,28.82,,28.5,27.4,22.2,,29.0815,41.0,31.67,28.826,22.37,34.03,,27.691974955,5.2340002031,28.73,0.4947188757,0.95061086,28.0
4.5,3.5,NC St.,Vanderbilt,8.0,,,,5.76,1.51,7.544,-0.56,9.967,6.6,7.4,7.7,10.4,8.1,11.11,4.77,15.5,,3.2,0.44,3.43,7.13,-17.25,,0.47,7.0,6.857124169,11.84,,,6.0657290653,0,,4.85,13.61,10.633478498,6.95,15.8144,,28.0,-2.8,10.0,,12.1695,4.0,8.61,14.429,7.02,14.31,,7.4751413982,6.9656402541,7.4,0.5665524608,0.6663207408,4.0
9.5,10.5,West Va.,Virginia,6.0,,,,23.04,14.26,9.037,11.28,22.503,7.1,12.3,12.9,12.9,10.6,13.14,8.02,18.0,,8.0,11.11,4.86,5.09,38.06,,12.15,26.0,14.198440569,16.27,,,13.766230464,1,,12.44,23.21,8.108324822,15.39,17.16,,26.0,12.7,14.4,,18.55,4.0,11.47,18.722,8.54,23.49,,14.615270158,6.9540871329,12.9,0.5688852186,0.7996899864,11.0
-23.0,-20.5,Miami (Fla.),Wake Forest,-10.0,,,,-18.81,-10.93,-5.372,-16.02,-14.302,-5.8,-19.8,-20.6,-21.5,-13.9,-1.7,-16.08,-6.0,,-22.5,-14.89,-15.27,-15.99,-16.22,,-21.68,-32.0,-20.44518679,-17.98,,,-28.067212,0,,-19.45,-21.28,-16.99577608,-14.27,-25.9785,,-12.9,-24.5,-16.5,,-10.64,-22.0,-20.06,-26.594,-10.88,-8.81,,-16.61391013,6.6931071058,-16.22,0.5652894439,0.1682427854,-20.5
24.5,24.0,Eastern Mich.,Wisconsin,14.0,,,,24.48,10.84,23.215,15.19,23.335,28.9,30.4,27.0,29.7,25.4,16.37,27.73,3.5,,23.0,23.77,27.97,28.39,18.29,,21.78,17.0,23.89946476,21.74,,,22.824706613,0,,6.8,22.07,18.438940443,15.28,20.2883,,23.0,23.5,26.0,,28.35,9.0,21.49,31.776,22.65,27.23,,22.043173292,6.376667603,23.0,0.4668907915,0.9004533865,24.0
