lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepve,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linefluker,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,linenewbury,lineborn,lineavg,linestd,linemedian,phcover,phwin,lineca
10.5,10.5,Buffalo,Florida Intl.,-0.5,,,,,8.59,2.733,,,14.3,,,,,,6.21,10.0,,6.6,6.78,6.86,2.95,10.99,5.33,,,11.41,,,6.2643763266,0,,-0.5,7.99,10.409495526,5.44,5.6855,,,7.4,6.3,,5.6,-5,-3.45,,1.18,1.35,,,5.8368948741,4.1434263339,6.2643763266,0.4198295598,0.6385015158,9.5
18.5,18.0,Sacramento St.,Fresno St.,19.0,,,,,24.53,18.535,,,19.2,,,,,,18.43,15.0,,22.0,8.12,12.94,14.06,-1.88,15.79,,,14.24,,,16.763480325,0,,-6.65,19.0,12.01800131,11.72,19.9802,,,12.9,26.2,,23.499,7,-31.04,,16.68,20.39,,,13.657027265,11.8623264,16.68,0.4326108685,0.7540871192,18.0
39.0,40.5,Western Kentucky,Georgia,25.5,,,,,37.75,33.015,,,37.9,,,,,,35.87,18.0,,33.0,40.53,41.99,43.11,43.79,39.63,,,29.88,,,47.617898253,0,,28.0,31.41,25.63656398,31.31,31.8453,,,48.8,38.9,,32.886,9,36.56,,30.77,33.31,,,35.080430489,7.1865894117,33.31,0.4098726599,0.9776023847,40.0
-13.5,-12.5,Tennessee,Georgia Tech,-4.5,,,,,-4.41,-2.725,,,2.0,,,,,,-7.31,3.5,,-9.4,-8.31,-8.3,-10.6,-7.88,-7.11,,,-3.48,,,-15.43540222,0,,-7.29,-5.12,-0.708908473,-4.71,-6.3035,,,-11.2,-5.4,,-2.184,-6,-22.83,,-8.24,-20.41,,,-7.134272428,5.961201324,-7.11,0.5905235629,0.3375077605,-11.5
10.0,8.5,New Mexico St.,Hawaii,5.5,,,,,5.65,8.869,,,23.6,,,,,,10.17,13.0,,8.2,4.66,8.06,10.47,-4.16,8.43,,,12.38,,,15.135173049,0,,2.7,7.61,18.466791872,2.65,16.115,,,3.9,15.6,,14.7385,-1,-3.97,19.815,13.14,13.25,,,9.7684409585,6.7196322839,9.5195,0.5213897928,0.713887822,8.5
6.5,6.0,Duke,Illinois,4.0,,,,,,5.18,,,6.8,,,,,,4.55,7.0,,4.4,5.68,8.86,9.0,1.65,5.6,,,6.44,,,5.2193864696,0,,2.66,0.01,4.162191814,1.66,5.9751,,,5.6,8.1,,7.7,1,8.0,,8.75,3.73,,,5.4465282618,2.4167456852,5.6,0.4903166029,0.6322742809,6.0
14.5,14.0,Iowa St.,Iowa,8.0,,,,,,23.306,,,15.9,,,,,,9.03,13.0,,14.5,15.34,17.41,17.31,13.34,14.93,,,12.4,,,,0,,8.42,16.97,13.971247889,10.88,13.9872,,,17.7,17.6,,12.6,2,1.06,,9.98,9.17,,,13.339323821,4.5507196595,13.971247889,0.4886032542,0.7895374571,14.0
-6.5,-5.5,Missouri,Kansas,-3.5,,,,,-4.3,-5.806,,,-4.8,,,,,,-2.8,-2.5,,-5.1,-0.27,-5.51,-6.95,7.52,0.37,,,-5.81,,,-7.706070638,0,,-0.72,-4.93,-3.722407483,1.74,-0.9192,,,-3.8,-5.1,,-8.0675,-3,-15.52,,-2.12,-11.57,,,-4.075647125,4.4168049155,-4.3,0.5245856643,0.4026707729,-5.5
18.5,19.0,Washington St.,Kansas St.,9.5,,,,,,14.393,,,6.1,,,,,,12.33,7.5,,18.0,18.33,17.36,18.62,22.67,16.93,,,7.05,,,14.384452833,0,,19.42,9.76,6.258353652,11.03,10.3941,,,18.0,12.8,,16.338,4,32.6,,10.61,13.25,,,14.317829437,6.0254796913,13.817226417,0.4208995161,0.7996377689,18.5
9.5,9.5,Georgia St.,Kennesaw St.,7.5,,,,,,9.6,,,23.3,,,,,,2.53,21.0,,7.0,8.27,8.36,8.39,9.19,7.64,,,18.53,,,10.869556173,0,,9.08,12.54,18.921910136,7.65,11.5611,,,6.6,9.6,,14.1365,-6,-8.62,,2.35,8.83,,,9.7845444295,6.5484434506,8.955,0.5048102539,0.7149382309,9.5
-10.5,-10.5,Alabama,Kentucky,-13.0,,,,,-7.3,-7.087,,,-18.1,,,,,,-12.43,-10.5,,-9.6,-6.99,-8.34,-8.64,-5.52,-10.92,,,-11.47,,,-12.97248328,0,,-12.29,-10.39,-7.783802098,-12.01,-10.2189,,,-13.7,-10.0,,-9.0335,-7,9.38,,-10.93,-12.25,,,-9.683827415,4.78849172,-10.39,0.5140489407,0.2803107235,-10.5
31.5,35.5,Louisiana Tech,LSU,18.0,,,,,14.24,27.95,,,16.5,,,,,,28.31,3.5,,31.0,32.26,34.08,37.45,27.77,31.0,,,18.54,,,34.317334675,0,,13.83,24.79,14.38219875,25.39,23.2773,,,28.8,27.6,,30.2085,11,-19.79,,24.92,27.87,,,23.047813337,11.946792591,27.6,0.3135163899,0.8763916385,34.5
17.5,13.5,Middle Tenn.,Marshall,11.5,,,,,13.82,6.011,,,23.7,,,,,,12.1,6.0,,13.6,9.98,11.73,10.31,8.65,11.51,,,11.89,,,14.885236753,0,,0.65,9.01,8.365272596,8.73,13.4237,,,8.6,13.9,,16.324,5,-24.39,,14.8,13.93,,,9.961168374,8.3444991689,11.51,0.4417695724,0.7101126789,13.5
-5.5,-5.5,Oklahoma,Michigan,6.0,,,,,-5.62,1.236,,,-2.6,,,,,,1.04,3.5,,-3.2,-8.22,-1.35,-5.0,-13.67,-5.23,,,-2.92,,,-3.376409501,0,,-3.08,-5.92,1.005183504,-5.11,0.9673,,,-7.6,2.9,,3.15,6,-16.62,-4.032,7.04,-0.35,,,-2.579227923,5.4621207993,-3.0,0.549835636,0.4391622463,-5.5
17.5,17.0,Eastern Mich.,Michigan St.,15.0,,,,,7.77,15.298,,,21.3,,,,,,26.12,5.0,,14.5,16.85,21.24,22.54,8.83,20.36,,,22.93,,,16.750123898,0,,6.09,22.85,14.647454517,15.4,13.4228,,,15.3,19.1,,18.9,4,-5.82,32.418,17.58,20.05,,,16.324091478,7.6085239976,16.800061949,0.4887258436,0.822343566,17.0
