canonical_model_id,model_name,predictions,bets,wins,losses,pushes,units,mae,bias,ats_pct,roi,wilson_low,seasons,rank,pool_rank,fold,line_reference,ranking_method,incremental_corr,incremental_gamma,incremental_score,residual_mae
linecfbp_sp,SP+,2158.0,2102,1060.0,1042.0,35.0,-78.36363636363639,12.602131603336423,-0.016867469879518152,0.5042816365366318,-0.03728051206643025,0.4829193281005728,5.0,8.0,7,7,Midweek,wilson,,,,
piratings_bias,PI-Rate Bias,3229.0,3163,1577.0,1586.0,51.0,-152.3636363636364,12.752462062558067,-0.029817280891916993,0.49857730003161554,-0.04817060903055213,0.4811648398177475,5.0,10.0,8,7,Midweek,wilson,,,,
linept_kerns,Stephen Kerns,3229.0,3167,1576.0,1591.0,51.0,-158.2727272727273,13.668795292660267,0.4854320222979251,0.4976318282286075,-0.04997560065447657,0.4802316232930638,5.0,11.0,9,7,Midweek,wilson,,,,
linecfbp_power_rank,Power Rank,2156.0,2099,1052.0,1047.0,35.0,-90.63636363636367,12.479730983302412,0.05505565862708717,0.5011910433539781,-0.04318073541513276,0.4798184208704356,5.0,12.0,10,7,Midweek,wilson,,,,
linept_talis,Talisman Red,3175.0,3124,1553.0,1571.0,50.0,-159.18181818181822,13.154702362204722,0.11804094488188982,0.4971190781049936,-0.05095448725410314,0.47960042050399776,5.0,13.0,11,7,Midweek,wilson,,,,
piratings,Pi-Ratings,3229.0,3151,1566.0,1585.0,51.0,-161.3636363636364,12.707841436977391,0.042917311861257294,0.49698508410028563,-0.05121029399036382,0.47954172790947863,5.0,15.0,12,7,Midweek,wilson,,,,
piratings_mean,Pi-Ratings Mean,3229.0,3136,1557.0,1579.0,51.0,-163.5454545454546,12.620294208733354,0.013852585939919521,0.49649234693877553,-0.05215097402597404,0.4790080981222476,5.0,16.0,13,7,Midweek,wilson,,,,
sagarin_predictor,Sagarin Predictor,3229.0,3172,1574.0,1598.0,51.0,-167.09090909090915,12.64401672344379,-0.03684422421802422,0.4962168978562421,-0.052676831365355975,0.4788324072042897,5.0,17.0,14,7,Midweek,wilson,,,,
linept_pfz,PerformanZ Ratings,3229.0,3176,1575.0,1601.0,51.0,-169.18181818181822,13.899231960359245,0.1584577268504181,0.4959068010075567,-0.05326883444011909,0.4785337045161915,5.0,18.0,15,7,Midweek,wilson,,,,
harville,David Harville,3229.0,3174,1573.0,1601.0,51.0,-171.00000000000003,12.676571694022915,0.1154691855063488,0.49558916194076874,-0.05387523629489604,0.4782110786930457,5.0,19.0,16,7,Midweek,wilson,,,,
linept_loud,Loudsound.org,3147.0,3022,1497.0,1525.0,50.0,-164.09090909090912,14.410231966952653,-0.005401970130282809,0.49536730641958965,-0.054298778653510626,0.47755857486438563,5.0,20.0,17,7,Midweek,wilson,,,,
espn_fpi,ESPN FPI,3229.0,3173,1570.0,1603.0,51.0,-175.72727272727278,12.540154846701766,-0.012654072468256413,0.49479987393633784,-0.055382058848809576,0.4774202745155738,5.0,21.0,18,7,Midweek,wilson,,,,
linept_laz,Laz Index,3227.0,3173,1567.0,1606.0,51.0,-181.4545454545455,12.876386736907344,0.08945150294391081,0.49385439647021745,-0.057187061284130314,0.4764763129220081,5.0,22.0,19,7,Midweek,wilson,,,,
linecfbp_tshoe_index,TShoe Index,1652.0,1563,782.0,781.0,28.0,-70.09090909090911,12.657869249394675,-0.13740920096852294,0.5003198976327575,-0.04484383179200838,0.4755616879135549,4.0,26.0,20,7,Midweek,wilson,,,,
fei,FEI Projections,3229.0,3149,1550.0,1599.0,51.0,-189.90909090909093,13.086138123257975,-0.049111179931867414,0.4922197523023182,-0.06030774560466527,0.4747784652835007,5.0,27.0,21,7,Midweek,wilson,,,,
linecfbp_dratings,DRatings,2158.0,2090,1035.0,1055.0,35.0,-114.09090909090912,12.741936978683967,-0.1090361445783132,0.49521531100478466,-0.05458895171813834,0.4738086814209055,5.0,30.0,22,7,Midweek,wilson,,,,
linept_fluker,Slate Fluker,98.0,94,54.0,40.0,3.0,9.09090909090909,11.458775510204083,-0.9730612244897958,0.574468085106383,0.09671179883945841,0.47353237624438765,1.0,31.0,23,7,Midweek,wilson,,,,
sagarin_golden_mean,Sagarin Golden Mean,3229.0,3176,1556.0,1620.0,51.0,-205.4545454545455,12.739266026633631,-0.07816971198513481,0.4899244332493703,-0.0646897183421113,0.47256150676289355,5.0,32.0,24,7,Midweek,wilson,,,,
linept_pig,Pigskin Index,3195.0,2986,1464.0,1522.0,50.0,-191.09090909090912,12.749924882629106,-0.07764319248826289,0.4902880107166778,-0.06399561590452416,0.47238155471862775,5.0,33.0,25,7,Midweek,wilson,,,,
linept_dunk,Dunkel Index,2810.0,2769,1359.0,1410.0,41.0,-174.5454545454546,13.278277580071176,0.021288256227758044,0.49079089924160346,-0.06303555599330249,0.4721964155546511,5.0,34.0,26,7,Midweek,wilson,,,,
sagarin,Sagarin Ratings,3229.0,3173,1552.0,1621.0,51.0,-210.09090909090912,12.598513471663052,-0.043053576958810735,0.4891270091396155,-0.06621207346073404,0.4717574366952912,5.0,36.0,27,7,Midweek,wilson,,,,
linept_clean,Cleanup Hitter,3188.0,3070,1500.0,1570.0,51.0,-206.3636363636364,14.099121706398996,0.0034378920953576026,0.48859934853420195,-0.06721942552561447,0.4709424556976533,5.0,39.0,28,7,Midweek,wilson,,,,
