fold,ranking_method,top_n,top_n_label,line_reference,market_intercept,market_beta,signal_intercept,signal_market_beta,gamma,train_games,selected_models
1,wilson,35,35,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.17582629997413132,0.9491903238767924,-0.13292168569392648,1425,35
1,wilson,999,All,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.1732833338877329,0.9437313678464342,-0.20604919687123605,1425,60
1,mae,3,3,Close (PT Updated/final),0.18237081796487564,0.964620055977482,0.18712254412341345,0.9663012930389274,0.0373503696175414,1424,3
1,mae,5,5,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.17433386732542808,0.9642327510248598,-0.007166093477463914,1425,5
1,mae,8,8,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.17603925624290376,0.9645914541817439,0.0063594289028114925,1425,8
1,mae,10,10,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.18198062919357524,0.9657633719574016,0.0438060186710342,1425,10
1,mae,15,15,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.1804598684440827,0.9655789058177033,0.03431003303112659,1425,15
1,mae,20,20,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.16925586279782512,0.9620353584191144,-0.0453462098135437,1425,20
1,mae,25,25,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.1690568432044242,0.9613658268587418,-0.0469810326522456,1425,25
1,mae,35,35,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.16752309790627185,0.9582064256246187,-0.08445684344319951,1425,35
1,mae,999,All,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.1732833338877329,0.9437313678464342,-0.2060491968712365,1425,60
1,incremental,3,3,Close (PT Updated/final),0.5811626420611292,0.9214465340627273,0.577891431967832,0.9106034895119233,-0.04365667474614632,427,3
1,incremental,5,5,Close (PT Updated/final),0.5361307606726622,0.9324319985199465,0.5433744526600046,0.9409359593698768,0.036327312052114646,429,5
1,incremental,8,8,Close (PT Updated/final),0.27404550192833177,0.9570082953913428,0.28096130837710215,0.9668908419337053,0.05987333699532511,1373,8
1,incremental,10,10,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.18136275075148084,0.971714766610264,0.048899045703566714,1425,10
1,incremental,15,15,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.1794404607761248,0.9717086946171738,0.04869147704329907,1425,15
1,incremental,20,20,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.1797313349061426,0.9725444204442499,0.0615541678775528,1425,20
1,incremental,25,25,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.17563459179398802,0.9667953981473468,0.018009099705051268,1425,25
1,incremental,35,35,Close (PT Updated/final),0.17526130528962033,0.9643724590639464,0.172469000553183,0.9526969683430301,-0.07616918569375526,1425,35
