model_a,model_b,model_a_name,model_b_name,n_common,meets_min_common,prediction_correlation,edge_correlation,error_correlation,same_side_rate,mean_absolute_prediction_difference,mean_absolute_edge_difference,a_lower_error_rate,b_lower_error_rate,a_only_ats_correct,b_only_ats_correct
linecfbp_kford,linept_pig,KFord,Pigskin Index,1282,True,0.9591450173298962,0.368198843693076,0.9564714147007227,0.6222038111019056,3.532979719188768,3.5915444617784718,0.5150078988941548,0.4849921011058452,275,224
linecfbp_cbcr2_power,linept_dunk,CBCR2: Power,Dunkel Index,930,True,0.8827066369972685,0.36818303044648526,0.9012279959821577,0.6187904967602592,5.492451612903225,5.560623655913979,0.5182795698924731,0.4817204301075269,195,170
dokter_entropy,linept_donchess,Dokter Entropy,Donchess Inference,3895,True,0.9552124029988767,0.3681045268986963,0.9635307283068849,0.6255263157894737,3.2534813863928114,3.2534813863928114,0.5017994858611825,0.4982005141388175,716,722
linept_round,sagarin_predictor,lineround,Sagarin Predictor,2105,True,0.8715908824981274,0.3678694659035012,0.9174860993104089,0.60693359375,5.254669833729216,5.254669833729216,0.4553231939163498,0.5446768060836502,407,407
espn_fpi,linecfbp_cfbwe_average,ESPN FPI,CFBWE: Average,516,True,0.9401204663406515,0.36778393865152464,0.9530711539188972,0.5906432748538012,3.9953100775193797,4.044496124031008,0.5038759689922481,0.49612403100775193,101,102
linecfbp_cfb_graphs,linecfbp_power_rank_free,CFB Graphs,Power Rank: Free,1572,True,0.910491056360582,0.3674725104635848,0.9386216693558034,0.5972850678733032,4.369020356234097,4.369020356234097,0.4807692307692308,0.5192307692307693,305,326
linecfbp_cbcr2_sam,linept_fox,CBCR2: Sam,linefox,515,True,0.9025433257385889,0.3674366023083555,0.9167055362538589,0.6383838383838384,5.123592233009708,5.109611650485436,0.474609375,0.525390625,93,88
linept_bill,sagarin_predictor,Billingsley,Sagarin Predictor,3895,True,0.8557915825885185,0.3672816256857271,0.9166721497696363,0.6099819912528943,5.281519897304236,5.2815198973042365,0.44258926277934757,0.5574107372206525,734,752
linept_pfz,moore_ratings,PerformanZ Ratings,Moore Power Ratings,3893,True,0.8691986682179744,0.367262404820215,0.8937129554700595,0.6352185089974293,5.977058823529412,5.976930387875675,0.4686536485097636,0.5313463514902363,712,686
linecfbp_tshoe_index,linept_how,TShoe Index,Howell,2082,True,0.8887475320281519,0.36720089775768117,0.9196163758967983,0.6198770491803278,5.173909702209414,5.240806916426513,0.5431672422298964,0.4568327577701036,406,406
fei,linecfbp_dratings,FEI Projections,DRatings,2591,True,0.9082258304715722,0.36715095524231267,0.9371211716391054,0.6185199841709537,4.273716711694327,4.370389810883829,0.48419820522824814,0.5158017947717518,511,492
linecfbp_cfbwe_talent,linept_paynewl,CFBWE: Talent,linepaynewl,516,True,0.6282188251232742,0.36703202791511097,0.8612376467375484,0.5859375,7.423662790697675,7.405368217054264,0.5174418604651163,0.48255813953488375,104,108
linept_fox,sagarin_predictor,linefox,Sagarin Predictor,2329,True,0.9410829985105049,0.36684292447738426,0.9433570568275285,0.6243880729862038,4.200210390725633,4.200210390725633,0.479776247848537,0.520223752151463,416,450
linecfbp_cfbwe_margin,linept_rwp,CFBWE: Margin,Laffaye RWP,480,True,0.8517341508492131,0.36617912847831685,0.9027972355962607,0.6126315789473684,5.601520833333333,5.610229166666667,0.5520833333333334,0.4479166666666667,92,93
linept_elo,sagarin_predictor,Beck Elo,Sagarin Predictor,3896,True,0.907064863893936,0.36559996541577694,0.9390203513899177,0.6197219361483007,4.40717659137577,4.40717659137577,0.46712891628145864,0.5328710837185413,709,754
linept_paynewl,linept_wayward,linepaynewl,Waywardtrends,787,True,0.6662365351081062,0.36530178326901686,0.8218371701885425,0.5946632782719187,8.877395171537485,8.877395171537485,0.3761118170266836,0.6238881829733164,151,160
dokter_entropy,linecfbp_power_rank,Dokter Entropy,Power Rank,2636,True,0.9651388880411026,0.36524660348451105,0.9705823413748604,0.5936898807233552,2.981604704097117,3.0700948406676782,0.5020904599011783,0.49790954009882177,543,518
linept_bihl,linept_pig,Bihl System,Pigskin Index,1785,True,0.9212168121500904,0.365156816055009,0.9510108079931895,0.6440476190476191,3.952745098039216,3.952745098039216,0.47560291643297814,0.5243970835670219,334,304
linecfbp_tshoe_index,linept_talis,TShoe Index,Talisman Red,2079,True,0.9209587409940889,0.36506236562646305,0.9300401638356396,0.623948540326571,4.557113997113997,4.672207792207792,0.5219277108433735,0.47807228915662653,373,420
linept_clean,linept_donchess,Cleanup Hitter,Donchess Inference,3855,True,0.7668105854194396,0.3649801250293898,0.8830494443823509,0.6028812177222072,6.5298651102464325,6.5298651102464325,0.425498426023085,0.574501573976915,743,784
linecfbp_ryder_analytics,linept_bill,Ryder Analytics,Billingsley,503,True,0.7853099210690416,0.3645859824661795,0.8815234313497105,0.658,6.092902584493041,6.095526838966203,0.4592445328031809,0.5407554671968191,78,100
fei,linept_loud,FEI Projections,Loudsound.org,3814,True,0.7554261785598777,0.36453392149850394,0.865748253603703,0.6160520607375272,6.625026219192449,6.628303618248559,0.5518244315177155,0.4481755684822845,721,714
linept_fluker,sagarin,Slate Fluker,Sagarin Ratings,694,True,0.9558583417766467,0.3644260094494352,0.9621117819909295,0.6395864106351551,2.877478386167147,2.877478386167147,0.521613832853026,0.4783861671469741,122,124
linecfbp_cfbwe_margin,linept_donchess,CFBWE: Margin,Donchess Inference,516,True,0.9189731949835098,0.3642820491646784,0.9449403534641265,0.6586345381526104,4.000329457364341,4.029011627906978,0.4970873786407767,0.5029126213592233,91,85
linept_how,sagarin_predictor,Howell,Sagarin Predictor,3894,True,0.8831988562498028,0.36427651248467496,0.9245916307425681,0.6113036523593708,5.040570107858244,5.040570107858244,0.46082712561006933,0.5391728743899307,717,776
harville,linecfbp_mcillece_sports,David Harville,McIllece Sports,550,True,0.9354112962748844,0.36399823874435844,0.9384653466121243,0.5989010989010989,4.131309090909092,4.2142181818181825,0.48905109489051096,0.5109489051094891,96,125
linecfbp_cfbwe_average,moore_ratings,CFBWE: Average,Moore Power Ratings,516,True,0.8868942124481015,0.36364347705105715,0.9343674866079273,0.5933852140077821,4.834224806201551,4.845852713178295,0.5406976744186046,0.45930232558139533,107,96
linecfbp_cbcr2_power,linept_wayward,CBCR2: Power,Waywardtrends,548,True,0.9276039705849396,0.3635928789773014,0.9289253108525662,0.6110091743119266,4.81007299270073,4.8721897810218975,0.48811700182815354,0.5118829981718465,119,107
congrove,linecfbp_john_harris,Congrove Computer Rankings,John Harris,1098,True,0.9255978828296852,0.36355676125516956,0.9336333738896672,0.6289424860853432,4.491429872495447,4.614908925318762,0.43846855059252504,0.5615314494074749,197,213
harville,linecfbp_matt_grissom,David Harville,Matt Grissom,1098,True,0.9567001889965226,0.36352695226347403,0.9578896322118431,0.6137614678899083,3.4209653916211287,3.5488524590163935,0.5009140767824497,0.4990859232175503,196,234
harville,linecfbp_cbcr2_power,David Harville,CBCR2: Power,1063,True,0.9292855492009922,0.36327330110032546,0.932673250712257,0.630085146641438,4.566067732831608,4.6105832549388515,0.5277516462841016,0.4722483537158984,192,211
linecfbp_pearatings,linecfbp_professor_sides,PEARatings,Professor Sides,550,True,0.9522225418014838,0.3631763922848418,0.9522035874633905,0.6709796672828097,3.495090909090909,3.495090909090909,0.4981684981684982,0.5018315018315018,91,84
linept_curry,moore_ratings,Daniel Curry Index,Moore Power Ratings,3890,True,0.9038845915855914,0.3627130795595803,0.9140564291135623,0.6169282222793928,5.30819794344473,5.3080694087403595,0.4971693257848688,0.5028306742151313,719,739
linecfbp_sv_bettor,moore_ratings,SV Bettor,Moore Power Ratings,507,True,0.915081225193656,0.3623912964606216,0.9261281961588399,0.6057494866529775,5.052011834319527,5.121676528599606,0.48514851485148514,0.5148514851485149,91,107
linecfbp_cbcr2_power,linept_laz,CBCR2: Power,Laz Index,1063,True,0.9193568403392686,0.3621698858309181,0.9246450555711632,0.6212121212121212,4.715785512699906,4.75928504233302,0.49106302916274697,0.5089369708372531,225,189
espn_fpi,linecfbp_david_sasser,ESPN FPI,David Sasser,550,True,0.9380305831469832,0.3621076737847232,0.9488570696077256,0.5981651376146789,3.8453818181818185,3.979127272727273,0.4781021897810219,0.5218978102189781,102,122
linept_curry,sagarin,Daniel Curry Index,Sagarin Ratings,3893,True,0.9304369308058548,0.3620127653043125,0.9291381661570971,0.6189495365602472,4.718266118674544,4.718266118674544,0.4572089437162683,0.5427910562837317,706,743
