Date,Bet,American Odds,Decimal Odds,Win/Loss,Profit if risk 1u,bet_team,bet_team_norm,bet_spread,is_moneyline,game_key,season,week,road,home,match_similarity,market_selected_spread,spread_difference,market_home_margin,actual_home_margin,consensus_home_margin,model_residual_home,adjusted_home_margin,adjusted_edge_home,model_edge_selected_side,adjusted_edge_selected_side,models_available,gamma
4-Oct,Stanford -3,-111,1.9,L,-1.0,Stanford,stanford,-3.0,False,2025_w6_sanjosestate_stanford,2025,6,San Jose St.,Stanford,1.0,-3.0,0.0,3.0,1.0,3.455,0.45500000000000007,2.9177823117883968,-0.08221768821160325,0.45500000000000007,-0.08221768821160325,6,0.04083846384304679
6-Oct,North Texas -12.5,-107,1.93,W,0.93,North Texas,north texas,-12.5,False,2025_w3_northtexas_westernmichigan,2025,3,North Texas,Western Mich.,1.0,-10.0,2.5,-10.0,-3.0,-8.412222222222221,1.587777777777779,-9.96806113917486,0.031938860825139415,-1.587777777777779,-0.031938860825139415,9,-0.029778037512505295
7-Oct,Louisiana Tech -4,-120,1.83,W,0.83,Louisiana Tech,louisiana tech,-4.0,False,2025_w6_louisianatech_utep,2025,6,Louisiana Tech,UTEP,1.0,-3.5,0.5,-3.5,-19.0,-5.524285714285715,-2.024285714285715,-3.6340624195394047,-0.13406241953940468,2.024285714285715,0.13406241953940468,7,0.04083846384304679
2-Oct,New Mexico State +3,-125,1.8,W,0.8,New Mexico State,new mexico state,3.0,False,2025_w14_newmexicostate_utep,2025,14,New Mexico St.,UTEP,1.0,3.0,0.0,3.0,-3.0,2.7439999999999998,-0.2560000000000002,2.9221880087824244,-0.07781199121757565,0.2560000000000002,0.07781199121757565,10,0.07078141613474465
4-Oct,San Diego State -5.5,-112,1.89,W,0.89,San Diego State,san diego state,-5.5,False,2025_w7_coloradostate_sandiegostate,2025,7,Colorado St.,San Diego St.,1.0,-6.5,1.0,6.5,21.0,6.5840000000000005,0.08400000000000052,6.376028286264052,-0.12397171373594773,0.08400000000000052,-0.12397171373594773,10,0.04083846384304679
5-Oct,Rice -4.5,-101,1.99,L,-1.0,Rice,rice,-4.5,False,2025_w7_floridaatlantic_rice,2025,7,Florida Atlantic,Rice,1.0,-5.0,0.5,5.0,-6.0,6.647142857142858,1.6471428571428577,4.951265905933529,-0.04873409406647067,1.6471428571428577,-0.04873409406647067,7,0.04083846384304679
9-Oct,Akron +9.5,-122,1.82,W,0.82,Akron,akron,9.5,False,2025_w10_akron_buffalo,2025,10,Akron,Buffalo,1.0,10.0,0.5,10.0,-8.0,14.047999999999998,4.047999999999998,10.17496129542643,0.17496129542642969,-4.047999999999998,-0.17496129542642969,10,0.07078141613474465
13-Oct,Ohio -13.5,-125,1.8,L,-1.0,Ohio,ohio,-13.5,False,2025_w9_northernillinois_ohio,2025,9,Northern Ill.,Ohio,1.0,-10.5,3.0,10.5,27.0,13.017000000000001,2.5170000000000012,10.4449848911501,-0.055015108849900685,2.5170000000000012,-0.055015108849900685,10,0.04083846384304679
15-Oct,Memphis -20.5,-115,1.87,W,0.87,Memphis,memphis,-20.5,False,2025_w9_memphis_uab,2025,9,Memphis,UAB,1.0,-21.5,1.0,-21.5,7.0,-22.575714285714287,-1.0757142857142874,-21.45850902015276,0.04149097984723937,1.0757142857142874,-0.04149097984723937,7,0.04083846384304679
16-Oct,Houston +12.5,-110,1.91,L,-1.0,Houston,houston,12.5,False,2025_w11_houston_westvirginia,2025,11,West Va.,Houston,1.0,13.0,0.5,-13.0,10.0,-13.526999999999997,-0.5269999999999975,-12.978433918647378,0.02156608135262239,-0.5269999999999975,0.02156608135262239,10,0.07078141613474465
10-Oct,Louisiana Tech -2.5,-111,1.9,L,-1.0,Louisiana Tech,louisiana tech,-2.5,False,2025_w6_louisianatech_utep,2025,6,Louisiana Tech,UTEP,1.0,-3.5,1.0,-3.5,-19.0,-5.524285714285715,-2.024285714285715,-3.6340624195394047,-0.13406241953940468,2.024285714285715,0.13406241953940468,7,0.04083846384304679
11-Oct,Alabama -2.5,-133,1.75,W,0.75,Alabama,alabama,-2.5,False,2025_w8_alabama_missouri,2025,8,Alabama,Missouri,1.0,-3.0,0.5,-3.0,-3.0,-3.6999999999999993,-0.6999999999999993,-3.0837810474841945,-0.08378104748419446,0.6999999999999993,0.08378104748419446,10,0.04083846384304679
13-Oct,Texas A&M -7.5,-108,1.93,W,0.93,Texas A&M,texas a and m,-7.5,False,2025_w8_florida_texasaandm,2025,8,Florida,Texas A&M,1.0,-7.5,0.0,7.5,17.0,7.541428571428571,0.041428571428570926,7.36668889010657,-0.1333111098934303,0.041428571428570926,-0.1333111098934303,7,0.04083846384304679
14-Oct,Maryland +6.5,-105,1.95,W,0.95,Maryland,maryland,6.5,False,2025_w15_maryland_michiganstate,2025,15,Maryland,Michigan St.,1.0,4.0,2.5,4.0,10.0,2.788,-1.2120000000000002,3.8471109851861893,-0.15288901481381068,1.2120000000000002,0.15288901481381068,5,0.07078141613474465
15-Oct,UNLV -6.5,-112,1.89,L,-1.0,UNLV,unlv,-6.5,False,2025_w8_airforce_unlv,2025,8,Air Force,UNLV,1.0,-7.0,0.5,7.0,3.0,9.159,2.1590000000000007,6.956967676532863,-0.04303232346713681,2.1590000000000007,-0.04303232346713681,10,0.04083846384304679
16-Oct,Coastal Carolina +3,-110,1.91,W,0.91,Coastal Carolina,coastal carolina,3.0,False,2025_w13_coastalcarolina_georgiasouthern,2025,13,Coastal Carolina,Georgia Southern,1.0,3.0,0.0,3.0,5.0,4.141666666666667,1.1416666666666666,3.0211168347334194,0.02111683473341941,-1.1416666666666666,-0.02111683473341941,6,0.07078141613474465
17-Oct,Temple +9.5,-109,1.92,W,0.92,Temple,temple,9.5,False,2025_w8_navy_temple,2025,8,Navy,Temple,1.0,10.0,0.5,-10.0,-1.0,-7.204285714285715,2.7957142857142854,-9.88781553514428,0.11218446485571931,2.7957142857142854,0.11218446485571931,7,0.04083846384304679
18-Oct,Tennessee -9.5,-110,1.91,L,-1.0,Tennessee,tennessee,-9.5,False,2025_w8_arkansas_tennessee,2025,8,Arkansas,Tennessee,1.0,-10.0,0.5,10.0,3.0,10.854285714285712,0.8542857142857123,9.880882616117148,-0.11911738388285187,0.8542857142857123,-0.11911738388285187,7,0.04083846384304679
20-Oct,BYU -2.5,-110,1.91,W,0.91,BYU,byu,-2.5,False,2025_w14_byu_cincinnati,2025,14,BYU,Cincinnati,1.0,-2.5,0.0,-2.5,-12.0,-5.3116666666666665,-2.8116666666666665,-2.7179507533097973,-0.2179507533097973,2.8116666666666665,0.2179507533097973,6,0.07078141613474465
15-Oct,Jacksonville State +3,-110,1.91,W,0.91,Jacksonville State,jacksonville state,3.0,False,2025_w9_delaware_jacksonvillestate,2025,9,Delaware,Jacksonville St.,1.0,3.0,0.0,-3.0,13.0,1.2399999999999998,4.24,-2.8820390360995436,0.1179609639004564,4.24,0.1179609639004564,10,0.04083846384304679
16-Oct,UTEP -3,-110,1.91,W,0.91,UTEP,utep,-3.0,False,2025_w14_newmexicostate_utep,2025,14,New Mexico St.,UTEP,1.0,-3.0,0.0,3.0,-3.0,2.7439999999999998,-0.2560000000000002,2.9221880087824244,-0.07781199121757565,-0.2560000000000002,-0.07781199121757565,10,0.07078141613474465
18-Oct,Ohio -11,-110,1.91,W,0.91,Ohio,ohio,-11.0,False,2025_w9_northernillinois_ohio,2025,9,Northern Ill.,Ohio,1.0,-10.5,0.5,10.5,27.0,13.017000000000001,2.5170000000000012,10.4449848911501,-0.055015108849900685,2.5170000000000012,-0.055015108849900685,10,0.04083846384304679
19-Oct,Coastal Carolina +10.5,-110,1.91,W,0.91,Coastal Carolina,coastal carolina,10.5,False,2025_w2_coastalcarolina_virginia,2025,2,Coastal Carolina,Virginia,1.0,12.0,1.5,12.0,41.0,10.257777777777779,-1.742222222222221,11.79675453877905,-0.20324546122095022,1.742222222222221,0.20324546122095022,9,-0.029778037512505295
