canonical_model_id,model_name,source_coverage,n_source_members,source_specific_model_ids,source_model_names,relationship,preferred_source,include_default,notes,first_season,last_season,seasons_active,source_records
linecfbp_tshoe_index,TShoe Index,cfbpicker,1,linecfbp_tshoe_index,TShoe Index,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2022,2025,4,2127
linept_talis,Talisman Red,predictiontracker,1,linept_talis,Talisman Red,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2025,5,3839
teamrankings,TeamRankings.com,cfbpicker+predictiontracker,2,linecfbp_teamrankings | linept_teamrank,TeamRankings | TeamRankings.com,same_model_different_snapshot,predictiontracker,True,Same named system; small cross-source snapshot differences.,2021,2025,5,6534
linecfbp_trent_sorensen,Trent Sorensen,cfbpicker,1,linecfbp_trent_sorensen,Trent Sorensen,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2024,2025,2,1098
linept_wayward,Waywardtrends,predictiontracker,1,linept_wayward,Waywardtrends,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2024,2025,2,1559
linecfbp_wilson_ratings,Wilson Ratings,cfbpicker,1,linecfbp_wilson_ratings,Wilson Ratings,distinct_model,cfbpicker,True,No curated cross-source identity mapping.,2021,2025,5,2638
linept_cather,linecather,predictiontracker,1,linept_cather,linecather,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2022,2,923
linept_fox,linefox,predictiontracker,1,linept_fox,linefox,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2023,3,2329
linept_payne,linepayne,predictiontracker,1,linept_payne,linepayne,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2024,4,3124
linept_paynep,linepaynep,predictiontracker,1,linept_paynep,linepaynep,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2024,4,3124
linept_paynewl,linepaynewl,predictiontracker,1,linept_paynewl,linepaynewl,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2024,4,3124
linept_round,lineround,predictiontracker,1,linept_round,lineround,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2024,4,2105
linept_super,linesuper,predictiontracker,1,linept_super,linesuper,distinct_model,predictiontracker,True,No curated cross-source identity mapping.,2021,2021,1,769
