architecture,architecture_name,line_reference,threshold,blocks,bets,wins,losses,pushes,ats_pct,wilson_low,wilson_high,units_flat,roi_flat,units_win1,roi_win1,profitable_blocks,max_drawdown_flat,max_drawdown_win1,longest_losing_streak
A,All-model consensus,Midweek,0.25,8,1586,799,787,27,0.5037831021437579,0.4791965151391112,0.5283514066161127,-60.63636363636367,-0.03823225954373497,-66.70000000000007,-0.03823225954373499,2,-87.09090909090943,-95.79999999999983,9
A,All-model consensus,Midweek,0.5,8,994,504,490,20,0.5070422535211268,0.4759943868733741,0.5380358960893727,-31.818181818181827,-0.03201024327784892,-35.00000000000004,-0.032010243277848946,3,-75.45454545454557,-83.00000000000027,12
A,All-model consensus,Midweek,0.75,8,537,265,272,9,0.4934823091247672,0.4513924988491807,0.5356647097679079,-31.0909090909091,-0.05789740985271713,-34.20000000000003,-0.057897409852717165,1,-39.45454545454547,-43.40000000000013,9
A,All-model consensus,Midweek,1.0,8,261,131,130,2,0.5019157088122606,0.44166943487668986,0.5621064069850117,-10.909090909090917,-0.04179728317659355,-12.000000000000014,-0.04179728317659357,2,-20.909090909090914,-22.999999999999982,14
A,All-model consensus,Midweek,1.25,8,120,52,68,0,0.43333333333333335,0.34810028273121946,0.5227024200762379,-20.727272727272727,-0.17272727272727273,-22.800000000000004,-0.17272727272727276,3,-23.909090909090924,-26.300000000000004,10
A,All-model consensus,Midweek,1.5,8,60,26,34,0,0.43333333333333335,0.31572200394400635,0.5589678534530513,-10.363636363636363,-0.17272727272727273,-11.400000000000004,-0.17272727272727278,4,-12.909090909090917,-14.19999999999999,7
A,All-model consensus,Midweek,1.75,8,28,14,14,0,0.5,0.3263284683244634,0.6736715316755366,-1.2727272727272734,-0.04545454545454548,-1.4000000000000012,-0.04545454545454549,4,-6.545454545454545,-7.199999999999999,4
A,All-model consensus,Midweek,2.0,8,14,6,8,0,0.42857142857142855,0.21380509930400526,0.6740973309713064,-2.5454545454545454,-0.18181818181818182,-2.8000000000000007,-0.18181818181818185,2,-4.090909090909091,-4.5,3
B,Prior-ranked Top-N consensus,Midweek,0.0,8,2382,1194,1188,44,0.5012594458438288,0.48119404725895293,0.5213207885960344,-102.5454545454546,-0.04305014884359975,-112.8000000000001,-0.043050148843599756,1,-119.09090909091067,-130.99999999999784,12
B,Prior-ranked Top-N consensus,Midweek,0.25,8,1592,799,793,28,0.5018844221105527,0.4773481596878518,0.5264116119586574,-66.63636363636364,-0.04185701233439927,-73.30000000000007,-0.041857012334399306,2,-84.0000000000003,-92.39999999999992,10
B,Prior-ranked Top-N consensus,Midweek,0.5,8,987,491,496,21,0.49746707193515705,0.46634407610425327,0.5286097086379296,-49.636363636363654,-0.050290135396518394,-54.60000000000004,-0.05029013539651841,2,-70.09090909090945,-77.10000000000032,9
B,Prior-ranked Top-N consensus,Midweek,0.75,8,552,266,286,12,0.48188405797101447,0.4404691879300232,0.5235493382112372,-44.18181818181819,-0.08003952569169961,-48.60000000000002,-0.08003952569169964,1,-54.09090909090931,-59.50000000000021,9
B,Prior-ranked Top-N consensus,Midweek,1.0,8,261,120,141,2,0.45977011494252873,0.40032714064161523,0.5203801802626535,-31.909090909090914,-0.12225705329153606,-35.10000000000001,-0.12225705329153606,2,-35.27272727272727,-38.8000000000001,7
B,Prior-ranked Top-N consensus,Midweek,1.25,8,131,60,71,1,0.4580152671755725,0.37510645160595435,0.5433163496660566,-16.454545454545453,-0.12560721721027063,-18.100000000000005,-0.12560721721027066,3,-22.272727272727266,-24.50000000000001,6
B,Prior-ranked Top-N consensus,Midweek,1.5,8,66,29,37,1,0.4393939393939394,0.32627930124012827,0.5591757856994607,-10.636363636363638,-0.16115702479338845,-11.700000000000005,-0.16115702479338848,2,-15.18181818181819,-16.699999999999992,5
B,Prior-ranked Top-N consensus,Midweek,1.75,8,32,14,18,0,0.4375,0.2816508596944317,0.6067469796877387,-5.272727272727273,-0.1647727272727273,-5.800000000000002,-0.1647727272727273,3,-8.909090909090908,-9.799999999999999,6
B,Prior-ranked Top-N consensus,Midweek,2.0,8,20,10,10,0,0.5,0.2992949144298199,0.7007050855701801,-0.9090909090909092,-0.045454545454545456,-1.0000000000000009,-0.0454545454545455,3,-5.0,-5.5,5
C,Best prior single model,Midweek,0.0,8,2238,1104,1134,42,0.4932975871313673,0.4726131560824718,0.5140049885714593,-130.36363636363635,-0.05825006093102607,-143.4000000000001,-0.05825006093102611,0,-146.909090909093,-161.5999999999966,11
C,Best prior single model,Midweek,0.25,8,2238,1104,1134,42,0.4932975871313673,0.4726131560824718,0.5140049885714593,-130.36363636363635,-0.05825006093102607,-143.4000000000001,-0.05825006093102611,0,-146.909090909093,-161.5999999999966,11
C,Best prior single model,Midweek,0.5,8,2238,1104,1134,42,0.4932975871313673,0.4726131560824718,0.5140049885714593,-130.36363636363635,-0.05825006093102607,-143.4000000000001,-0.05825006093102611,0,-146.909090909093,-161.5999999999966,11
C,Best prior single model,Midweek,0.75,8,2238,1104,1134,42,0.4932975871313673,0.4726131560824718,0.5140049885714593,-130.36363636363635,-0.05825006093102607,-143.4000000000001,-0.05825006093102611,0,-146.909090909093,-161.5999999999966,11
C,Best prior single model,Midweek,1.0,8,2238,1104,1134,42,0.4932975871313673,0.4726131560824718,0.5140049885714593,-130.36363636363635,-0.05825006093102607,-143.4000000000001,-0.05825006093102611,0,-146.909090909093,-161.5999999999966,11
C,Best prior single model,Midweek,1.25,8,2238,1104,1134,42,0.4932975871313673,0.4726131560824718,0.5140049885714593,-130.36363636363635,-0.05825006093102607,-143.4000000000001,-0.05825006093102611,0,-146.909090909093,-161.5999999999966,11
C,Best prior single model,Midweek,1.5,8,2238,1104,1134,42,0.4932975871313673,0.4726131560824718,0.5140049885714593,-130.36363636363635,-0.05825006093102607,-143.4000000000001,-0.05825006093102611,0,-146.909090909093,-161.5999999999966,11
C,Best prior single model,Midweek,1.75,8,2238,1104,1134,42,0.4932975871313673,0.4726131560824718,0.5140049885714593,-130.36363636363635,-0.05825006093102607,-143.4000000000001,-0.05825006093102611,0,-146.909090909093,-161.5999999999966,11
C,Best prior single model,Midweek,2.0,8,2238,1104,1134,42,0.4932975871313673,0.4726131560824718,0.5140049885714593,-130.36363636363635,-0.05825006093102607,-143.4000000000001,-0.05825006093102611,0,-146.909090909093,-161.5999999999966,11
D,Top-N diversified model consensus,Midweek,0.0,8,2382,1178,1204,44,0.4945424013434089,0.47448894807048836,0.5146134298912338,-133.0909090909091,-0.055873597435310285,-146.4000000000001,-0.05587359743531031,2,-144.00000000000193,-158.39999999999753,12
D,Top-N diversified model consensus,Midweek,0.25,8,1928,950,978,32,0.4927385892116183,0.47045868974888516,0.5150473683047359,-114.36363636363639,-0.059317238777819706,-125.80000000000008,-0.05931723877781973,2,-126.54545454545604,-139.1999999999983,11
D,Top-N diversified model consensus,Midweek,0.5,8,1451,716,735,29,0.4934527911784976,0.4677790751505467,0.5191610838330843,-84.09090909090911,-0.057953762295595526,-92.50000000000006,-0.05795376229559555,2,-101.36363636363703,-111.49999999999973,10
D,Top-N diversified model consensus,Midweek,0.75,8,1064,527,537,24,0.49530075187969924,0.4653292403396369,0.5253060748606699,-57.90909090909092,-0.054425837320574176,-63.700000000000045,-0.0544258373205742,2,-71.36363636363664,-78.50000000000043,9
D,Top-N diversified model consensus,Midweek,1.0,8,758,387,371,17,0.5105540897097626,0.4750033965502367,0.5459983444940959,-19.181818181818194,-0.025305828735907906,-21.100000000000044,-0.02530582873590794,3,-34.90909090909105,-38.40000000000007,9
D,Top-N diversified model consensus,Midweek,1.25,8,546,266,280,10,0.48717948717948717,0.44548934669447227,0.5290487748299811,-38.181818181818194,-0.06993006993006995,-42.00000000000002,-0.06993006993006996,1,-40.363636363636274,-44.40000000000023,10
D,Top-N diversified model consensus,Midweek,1.5,8,432,205,227,8,0.47453703703703703,0.4278798303219535,0.5216431156290524,-40.63636363636364,-0.09406565656565657,-44.70000000000002,-0.09406565656565659,1,-42.18181818181816,-46.40000000000021,10
D,Top-N diversified model consensus,Midweek,1.75,8,349,167,182,6,0.4785100286532951,0.4266198443250699,0.5308681616243418,-30.181818181818183,-0.08648085438916385,-33.20000000000002,-0.08648085438916388,2,-32.45454545454536,-35.70000000000016,9
D,Top-N diversified model consensus,Midweek,2.0,8,292,136,156,3,0.4657534246575342,0.4093536026056788,0.5230426526876942,-32.36363636363637,-0.11083437110834372,-35.600000000000016,-0.11083437110834374,2,-37.09090909090902,-40.80000000000013,8
