ranking_method,top_n,top_n_label,line_reference,model_residual_bin,games,mean_model_residual,mean_actual_residual,median_actual_residual
incremental,15,15,Midweek,-2 to 0,664,-0.9689045669858924,-0.3207831325301205,-0.5
incremental,15,15,Midweek,0 to 2,633,0.9878306815617244,1.160347551342812,1.5
incremental,15,15,Midweek,2 to 4,382,2.8582974943904267,-0.6675392670157068,-1.0
incremental,15,15,Midweek,4 to 7,165,5.125840788840788,0.1606060606060606,0.5
incremental,15,15,Midweek,≥7,23,12.03887232574189,3.260869565217391,-4.5
incremental,15,15,Open,≤-7,26,-8.052401228045458,-5.134615384615385,-5.75
incremental,15,15,Open,-7 to -4,140,-4.982670259898831,-0.17142857142857143,0.5
incremental,15,15,Open,-4 to -2,355,-2.807161868647784,-1.1915492957746479,-0.5
incremental,15,15,Open,-2 to 0,656,-0.9284010416666666,0.3910060975609756,0.5
incremental,15,15,Open,0 to 2,732,0.9679157976207156,-0.28620218579234974,0.0
incremental,15,15,Open,2 to 4,356,2.8634664404727608,-0.13202247191011235,-0.5
incremental,15,15,Open,4 to 7,138,4.979991928562581,2.86231884057971,2.5
incremental,15,15,Open,≥7,23,8.661458326697456,2.152173913043478,-0.5
incremental,20,20,Close (PT Updated/final),≤-7,29,-8.589247970722562,5.741379310344827,4.5
incremental,20,20,Close (PT Updated/final),-7 to -4,174,-5.147967484740171,-0.11206896551724138,1.0
incremental,20,20,Close (PT Updated/final),-4 to -2,369,-2.855523541483319,-1.3712737127371273,-0.5
incremental,20,20,Close (PT Updated/final),-2 to 0,636,-0.9343420209199752,-0.8278301886792453,-1.0
incremental,20,20,Close (PT Updated/final),0 to 2,632,0.9344285616624474,0.8639240506329114,1.25
incremental,20,20,Close (PT Updated/final),2 to 4,388,2.8624209226370785,0.4252577319587629,-0.25
incremental,20,20,Close (PT Updated/final),4 to 7,173,5.1354516507898005,-0.24855491329479767,0.0
incremental,20,20,Close (PT Updated/final),≥7,25,9.27061106051843,0.42,-1.5
incremental,20,20,Midweek,≤-7,21,-8.41641846040342,4.571428571428571,7.0
incremental,20,20,Midweek,-7 to -4,175,-5.168387400202136,-0.28,0.0
incremental,20,20,Midweek,-4 to -2,339,-2.8990363834530113,-0.6460176991150443,0.0
incremental,20,20,Midweek,-2 to 0,677,-0.9711872738894818,-1.2518463810930576,-1.5
incremental,20,20,Midweek,0 to 2,638,0.9746785430787657,0.8275862068965517,1.25
incremental,20,20,Midweek,2 to 4,403,2.86116570416799,0.7320099255583127,0.0
incremental,20,20,Midweek,4 to 7,152,5.099459588426347,-0.35526315789473684,-0.5
incremental,20,20,Midweek,≥7,21,12.673222433790102,4.0476190476190474,-3.0
incremental,20,20,Open,≤-7,18,-8.001651359037327,-5.472222222222222,-7.75
incremental,20,20,Open,-7 to -4,126,-4.9987185661966365,0.12301587301587301,1.5
incremental,20,20,Open,-4 to -2,350,-2.87171840239126,-1.2128571428571429,-1.0
incremental,20,20,Open,-2 to 0,682,-0.915572203413537,-0.4780058651026393,0.0
incremental,20,20,Open,0 to 2,725,0.9297536180314946,0.32413793103448274,0.0
incremental,20,20,Open,2 to 4,379,2.7933069255652923,0.2612137203166227,0.0
incremental,20,20,Open,4 to 7,126,4.95194745597158,2.634920634920635,2.5
incremental,20,20,Open,≥7,20,8.699278174603174,1.575,-0.25
incremental,25,25,Close (PT Updated/final),≤-7,26,-8.788115143492707,6.538461538461538,5.25
incremental,25,25,Close (PT Updated/final),-7 to -4,186,-5.087800968897022,0.18010752688172044,1.25
incremental,25,25,Close (PT Updated/final),-4 to -2,364,-2.8610499958259727,-1.5247252747252746,-1.0
incremental,25,25,Close (PT Updated/final),-2 to 0,630,-0.941807608880806,-0.48174603174603176,-0.5
incremental,25,25,Close (PT Updated/final),0 to 2,637,0.9457539152846924,0.7182103610675039,0.5
incremental,25,25,Close (PT Updated/final),2 to 4,386,2.84891832022069,0.012953367875647668,-0.5
incremental,25,25,Close (PT Updated/final),4 to 7,170,5.068077876225469,-0.11470588235294117,-0.25
incremental,25,25,Close (PT Updated/final),≥7,27,9.261042924398108,0.18518518518518517,-1.5
incremental,25,25,Midweek,≤-7,22,-8.509876637959115,5.613636363636363,5.25
incremental,25,25,Midweek,-7 to -4,193,-5.1526331707762845,-0.5466321243523317,0.0
incremental,25,25,Midweek,-4 to -2,339,-2.819606635276546,-1.107669616519174,-0.5
incremental,25,25,Midweek,-2 to 0,651,-0.9880408820878155,-0.5168970814132104,-0.5
incremental,25,25,Midweek,0 to 2,661,1.0011226412864715,0.745839636913767,1.0
incremental,25,25,Midweek,2 to 4,376,2.860187107751747,0.14893617021276595,-0.75
incremental,25,25,Midweek,4 to 7,158,5.006512376737139,-0.8481012658227848,-0.75
incremental,25,25,Midweek,≥7,26,11.964879407042456,4.365384615384615,-2.75
incremental,25,25,Open,≤-7,16,-8.230883478327229,-6.40625,-8.25
incremental,25,25,Open,-7 to -4,129,-4.997378450233809,0.27906976744186046,0.5
incremental,25,25,Open,-4 to -2,350,-2.903228913487134,-1.1742857142857144,-1.0
incremental,25,25,Open,-2 to 0,676,-0.9366976427089176,0.06656804733727811,0.0
incremental,25,25,Open,0 to 2,710,0.9491190090206792,-0.10633802816901408,0.0
incremental,25,25,Open,2 to 4,390,2.8170319101012327,0.46282051282051284,0.0
incremental,25,25,Open,4 to 7,134,4.929946019927879,1.1305970149253732,1.5
