fold,architecture,architecture_name,line_reference,threshold,bets,wins,losses,pushes,ats_pct,wilson_low,wilson_high,units_flat,roi_flat,units_win1,roi_win1,oos_start,oos_end
1,B,Prior-ranked Top-N consensus,Open,2.0,0,0,0,0,,,,0.0,,0.0,,2022 W14,2023 W4
1,C,Best prior single model,Open,0.0,258,121,137,1,0.4689922480620155,0.40899912511306524,0.5298952293363425,-27.0,-0.10465116279069768,-29.700000000000017,-0.10465116279069774,2022 W14,2023 W4
1,C,Best prior single model,Open,0.25,258,121,137,1,0.4689922480620155,0.40899912511306524,0.5298952293363425,-27.0,-0.10465116279069768,-29.700000000000017,-0.10465116279069774,2022 W14,2023 W4
1,C,Best prior single model,Open,0.5,258,121,137,1,0.4689922480620155,0.40899912511306524,0.5298952293363425,-27.0,-0.10465116279069768,-29.700000000000017,-0.10465116279069774,2022 W14,2023 W4
1,C,Best prior single model,Open,0.75,258,121,137,1,0.4689922480620155,0.40899912511306524,0.5298952293363425,-27.0,-0.10465116279069768,-29.700000000000017,-0.10465116279069774,2022 W14,2023 W4
1,C,Best prior single model,Open,1.0,258,121,137,1,0.4689922480620155,0.40899912511306524,0.5298952293363425,-27.0,-0.10465116279069768,-29.700000000000017,-0.10465116279069774,2022 W14,2023 W4
1,C,Best prior single model,Open,1.25,258,121,137,1,0.4689922480620155,0.40899912511306524,0.5298952293363425,-27.0,-0.10465116279069768,-29.700000000000017,-0.10465116279069774,2022 W14,2023 W4
1,C,Best prior single model,Open,1.5,258,121,137,1,0.4689922480620155,0.40899912511306524,0.5298952293363425,-27.0,-0.10465116279069768,-29.700000000000017,-0.10465116279069774,2022 W14,2023 W4
1,C,Best prior single model,Open,1.75,258,121,137,1,0.4689922480620155,0.40899912511306524,0.5298952293363425,-27.0,-0.10465116279069768,-29.700000000000017,-0.10465116279069774,2022 W14,2023 W4
1,C,Best prior single model,Open,2.0,258,121,137,1,0.4689922480620155,0.40899912511306524,0.5298952293363425,-27.0,-0.10465116279069768,-29.700000000000017,-0.10465116279069774,2022 W14,2023 W4
1,D,Top-N diversified model consensus,Open,0.0,260,136,124,1,0.5230769230769231,0.46247134165703446,0.5830104928982442,-0.36363636363637397,-0.0013986013986014383,-0.4000000000000057,-0.0013986013986014185,2022 W14,2023 W4
1,D,Top-N diversified model consensus,Open,0.25,247,125,122,1,0.5060728744939271,0.4441077846389182,0.5678519540966026,-8.363636363636374,-0.03386087596613917,-9.200000000000017,-0.03386087596613918,2022 W14,2023 W4
1,D,Top-N diversified model consensus,Open,0.5,236,119,117,1,0.5042372881355932,0.4408920407404258,0.5674467962253048,-8.818181818181827,-0.03736517719568571,-9.700000000000017,-0.03736517719568573,2022 W14,2023 W4
1,D,Top-N diversified model consensus,Open,0.75,217,111,106,1,0.511520737327189,0.4453919632180342,0.5772486986862447,-5.0909090909090935,-0.02346041055718476,-5.6000000000000085,-0.023460410557184785,2022 W14,2023 W4
