fold,season,week,game,selected_side,forecast_mean,forecast_sd,market_margin,actual_margin,edge,signal,cover_margin,result
2,2023,9,Central Florida @ Oklahoma,Central Florida,-21.54581084656085,5.134138663220983,-17.5,-2.0,-4.045810846560851,0.7880213433936838,-15.5,L
2,2023,10,East Carolina @ Texas-San Antonio,East Carolina,13.14503538359788,2.283452942328064,18.5,14.0,-5.354964616402119,2.3451171325398703,4.5,W
2,2023,10,Miami (Ohio) @ Ohio,Miami (Ohio),4.469092791005291,2.092338968826861,7.5,-14.0,-3.0309072089947087,1.4485737034731454,21.5,W
3,2023,11,Florida Atlantic @ UAB,Florida Atlantic,-2.569670707070707,2.1034550794670737,1.0,3.0,-3.569670707070707,1.6970510765436029,-2.0,L
3,2023,11,Texas A&M @ Mississippi,Texas A&M,-4.878704040404041,1.7229427723801511,-3.0,-3.0,-1.878704040404041,1.0904042029258547,-0.0,P
3,2023,12,Ohio @ Buffalo,Ohio,2.96940101010101,1.1135712537833293,7.0,10.0,-4.03059898989899,3.61952499779887,-3.0,L
3,2023,12,Minnesota @ Purdue,Minnesota,-2.795938383838384,2.1655116004366852,1.0,19.0,-3.795938383838384,1.7529060491169457,-18.0,L
3,2023,13,Utah @ Arizona,Arizona,2.1724260416666668,2.847401441145317,-1.0,-24.0,3.1724260416666668,1.1141477965926063,-23.0,L
3,2023,13,Nevada @ Colorado St.,Colorado St.,-5.251582291666667,2.9504050929775976,-12.5,-10.0,7.248417708333333,2.456753388063776,2.5,W
3,2023,13,South Florida @ Texas-San Antonio,South Florida,11.358009375,4.676966736503015,15.5,28.0,-4.141990625,0.885614728168236,-12.5,L
3,2023,14,Texas A&M @ LSU,LSU,-6.598978787878787,1.817854921564996,-12.0,-12.0,5.401021212121213,2.971095849316435,0.0,P
3,2023,19,Arizona @ Oklahoma,Oklahoma,4.6078020833333335,2.8479704852461,-2.5,-14.0,7.1078020833333335,2.4957428878407537,-11.5,L
3,2023,19,Mississippi @ Penn St.,Penn St.,10.344770833333333,2.5379503339357004,5.5,-13.0,4.8447708333333335,1.9089305131595522,-18.5,L
3,2023,19,James Madison @ Air Force,Air Force,5.637959375,2.3498011991582977,1.0,-10.0,4.637959375,1.9737667070139058,-11.0,L
3,2023,19,Georgia Southern @ Ohio,Ohio,3.3980677083333335,2.3012342725541313,-2.5,20.0,5.8980677083333335,2.563001854560027,22.5,W
4,2024,2,Georgia St. @ Georgia Tech,Georgia St.,16.615869963369963,4.061697665857488,20.5,23.0,-3.8841300366300366,0.9562824109928024,-2.5,L
4,2024,2,Ohio @ Syracuse,Ohio,12.762917915417916,4.027420201761285,18.0,16.0,-5.2370820845820845,1.3003565116676392,2.0,W
4,2024,3,Georgia Southern @ Nevada,Georgia Southern,-1.6633502608502604,2.2539022516767804,0.5,-3.0,-2.1633502608502604,0.9598243487448693,3.5,W
4,2024,3,Texas @ Michigan,Texas,2.3329102841602842,3.521760803225022,7.0,19.0,-4.667089715839715,1.3252148503572043,-12.0,L
4,2024,4,Central Mich. @ Illinois,Illinois,22.127278832278833,2.8275978578889305,18.5,21.0,3.627278832278833,1.2828128378152543,2.5,W
4,2024,4,Oklahoma St. @ Tulsa,Oklahoma St.,-23.821136363636366,3.5371167171303965,-18.0,-35.0,-5.821136363636366,1.6457292278324807,17.0,W
4,2024,5,Virginia @ Coastal Carolina,Virginia,-1.1246843434343434,2.207267293228082,3.5,19.0,-4.624684343434343,2.0952081144059536,-15.5,L
4,2024,5,Vanderbilt @ Missouri,Vanderbilt,-23.69725427350427,2.997368586135113,-20.0,-3.0,-3.697254273504271,1.233500040871386,-17.0,L
4,2024,6,Buffalo @ Connecticut,Buffalo,1.9610933510933513,2.507731092613055,6.0,44.0,-4.038906648906648,1.6105820360101324,-38.0,L
4,2024,6,Oklahoma St. @ Kansas St.,Kansas St.,-2.8984065934065932,2.3030741879794365,-5.0,-22.0,2.1015934065934068,0.9125165908950612,-17.0,L
4,2024,7,East Carolina @ Charlotte,East Carolina,4.545628538128538,4.033924298540398,9.0,-31.0,-4.454371461871462,1.1042278268541617,40.0,W
4,2024,7,Wake Forest @ NC St.,Wake Forest,-7.932983127983127,2.7289999164287924,-4.0,4.0,-3.9329831279831273,1.4411811097194478,-8.0,L
5,2024,8,Utah @ Arizona St.,Utah,-0.12297141387419168,3.722744884848555,5.5,-8.0,-5.6229714138741915,1.510436945802946,13.5,W
5,2024,8,Florida Intl. @ Liberty,Florida Intl.,12.708747795414462,4.296702909838154,17.5,7.0,-4.791252204585538,1.1150997183479954,10.5,W
5,2024,9,Arizona St. @ Cincinnati,Arizona St.,0.6807587448559672,3.029667332963489,5.5,10.0,-4.819241255144033,1.5906833079360103,-4.5,L
5,2024,9,Florida St. @ Duke,Florida St.,-7.818729056437389,5.819456062280121,-3.0,-7.0,-4.818729056437389,0.8280377074536005,4.0,W
5,2024,9,South Carolina @ Oklahoma,South Carolina,-5.142415490887712,2.406975384027498,-1.0,26.0,-4.142415490887712,1.7210045097995021,-27.0,L
5,2024,10,Oklahoma St. @ Baylor,Baylor,-3.673047839506173,2.4106574174842343,-7.0,-10.0,3.326952160493827,1.3801016006520908,-3.0,L
5,2024,10,Georgia Tech @ Virginia Tech,Georgia Tech,5.256105599647267,2.552067840838461,10.5,15.0,-5.243894400352733,2.0547629324108776,-4.5,L
5,2024,10,Tulane @ North Texas,North Texas,9.98303277483833,2.6504909110985753,7.5,8.0,2.48303277483833,0.9368199545378417,0.5,W
5,2024,11,Tulane @ Charlotte,Charlotte,17.038070620223397,2.8349353955366636,14.5,31.0,2.5380706202233974,0.8952834072407253,16.5,W
5,2024,11,Louisiana Tech @ Sam Houston St.,Sam Houston St.,13.579260361552027,3.013145990218528,10.0,6.0,3.579260361552027,1.187881494348849,-4.0,L
5,2024,12,Clemson @ Virginia Tech,Virginia Tech,-2.062855305702528,2.0345705095752633,-6.5,-10.0,4.437144694297472,2.1808753608759273,-3.5,L
5,2024,12,Iowa St. @ Kansas,Iowa St.,-8.642526087595533,4.038083583699392,-3.0,9.0,-5.642526087595533,1.3973277101971895,-12.0,L
5,2024,13,Louisiana-Monroe @ Auburn,Auburn,-14.908348030570254,7.671760169211481,-24.5,-34.0,9.591651969429746,1.2502544080983171,-9.5,L
5,2024,13,Wyoming @ Colorado St.,Wyoming,-11.073695987654322,2.0122131173911706,-9.5,-14.0,-1.5736959876543217,0.7820722238878031,4.5,W
6,2024,14,Akron @ Kent,Kent,-7.999074404761904,1.5552349402516294,-10.0,-21.0,2.0009255952380958,1.286574486883863,-11.0,L
6,2024,14,Sam Houston St. @ Jacksonville St.,Jacksonville St.,-3.999607738095238,2.3008736385392696,-6.0,-10.0,2.000392261904762,0.8694055285777141,-4.0,L
6,2024,15,Kent @ Buffalo,Buffalo,-17.430409722222223,3.0595138049504653,-24.0,-36.0,6.5695902777777775,2.147266100629391,-12.0,L
6,2024,15,Nebraska @ Iowa,Nebraska,-8.630664285714285,3.732612169711796,-3.0,-3.0,-5.6306642857142855,1.5085050441093757,-0.0,P
6,2024,18,Ohio @ Jacksonville St.,Ohio,2.536026984126984,2.3674699082359267,5.0,3.0,-2.463973015873016,1.0407621263955142,2.0,W
6,2024,20,Louisville @ Washington,Louisville,-6.8219851190476195,2.1466562174029473,-2.5,-1.0,-4.3219851190476195,2.013356905502276,-1.5,L
6,2024,20,Georgia Tech @ Vanderbilt,Vanderbilt,-1.9956156746031741,1.2424819337930657,-3.0,8.0,1.0043843253968259,0.8083693598108327,11.0,W
6,2024,20,Texas A&M @ USC,USC,-1.195052976190476,1.355443955470521,-4.0,4.0,2.804947023809524,2.0693935831790484,8.0,W
6,2025,2,Miami (Ohio) @ Wisconsin,Miami (Ohio),14.404496527777779,4.768551935088484,18.0,17.0,-3.595503472222221,0.7540032112821067,1.0,W
6,2025,3,Kent @ Texas Tech,Kent,37.865621527777776,9.103591086747015,49.0,48.0,-11.134378472222224,1.2230754178350152,1.0,W
7,2025,4,Texas St. @ Arizona St.,Arizona St.,-11.205931299603174,3.9369055396126282,-17.5,-19.0,6.294068700396826,1.5987350057213034,-1.5,L
7,2025,4,Colorado @ Houston,Colorado,2.30401774691358,3.416683694455835,5.0,16.0,-2.69598225308642,0.7890640440205575,-11.0,L
7,2025,4,Oregon @ Northwestern,Northwestern,31.52969367283951,4.85673802794376,26.5,20.0,5.02969367283951,1.0356114832425862,-6.5,L
