game_key,season,week,away,home,canonical_model_id,model_name,picker,prediction_home_margin_existing,prediction_home_margin_cfbpicker,difference_cfb_minus_existing,source_table
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_dratings,DRatings,DRatings,3.2,3.2,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,dokter_entropy,Dokter Entropy,Dokter Entropy,5.04,6.5,1.46,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,espn_fpi,ESPN FPI,ESPN FPI,4.02,3.7,-0.3199999999999994,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,fei,FEI Projections,FEI,2.0,2.0,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,harville,David Harville,Harville,2.26,2.3,0.040000000000000036,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_jp,JP+,JP+,5.7,5.7,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_kford,KFord,KFord,4.0,4.0,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,keeper,Keeper,Keeper,-7.6,-7.6,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,massey,Massey Ratings,Massey,5.71,5.1,-0.6100000000000003,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,moore_ratings,Moore Power Ratings,Moore Ratings,10.52,7.8,-2.7199999999999998,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_oddstrader_ai,OddsTrader AI,OddsTrader AI,8.0,8.0,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,piratings,Pi-Ratings,PiRate,1.7,1.7,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,piratings_bias,PI-Rate Bias,PiRate: Bias,1.0,1.0,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,piratings_mean,Pi-Ratings Mean,PiRate: Mean,1.5,1.5,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_power_rank,Power Rank,Power Rank,6.9,6.9,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_power_rank_free,Power Rank: Free,Power Rank: Free,3.5,3.5,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_professor_sides,Professor Sides,Professor Sides,7.7,7.7,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_room44_bets,Room44 Bets,Room44 Bets,7.3,7.3,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_sp,SP+,SP+,7.7,7.7,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,sagarin,Sagarin Ratings,Sagarin,3.58,3.8,0.21999999999999975,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,sagarin_golden_mean,Sagarin Golden Mean,Sagarin: Golden,3.58,3.8,0.21999999999999975,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,sagarin_predictor,Sagarin Predictor,Sagarin: Predictor,3.58,3.8,0.21999999999999975,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,sagarin_recent,Sagarin Recent,Sagarin: Recent,3.58,3.8,0.21999999999999975,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_sportsline,SportsLine,SportsLine,12.0,12.0,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_tshoe_index,TShoe Index,TShoe Index,6.4,6.4,0.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,teamrankings,TeamRankings.com,TeamRankings,3.4,2.4,-1.0,tableau_embedding_api_tooltip
2023_w1_ohio_sandiegostate,2023,1,Ohio,San Diego State,linecfbp_wilson_ratings,Wilson Ratings,Wilson Ratings,0.3,0.3,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_beta_rank,Beta_Rank,Beta_Rank,18.1,18.1,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_blake_atkinson,Blake Atkinson,Blake Atkinson,33.0,33.0,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_cbcr2_power,CBCR2: Power,CBCR2: Power,23.3,23.3,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_cbcr2_sam,CBCR2: Sam,CBCR2: Sam,29.9,29.9,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_cfb_geek,CFB Geek,CFB Geek,32.9,32.9,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_cfb_graphs,CFB Graphs,CFB Graphs,38.8,38.8,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,congrove,Congrove Computer Rankings,Congrove,29.29,29.3,0.010000000000001563,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_dratings,DRatings,DRatings,23.5,23.5,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,dokter_entropy,Dokter Entropy,Dokter Entropy,28.26,28.9,0.639999999999997,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,espn_fpi,ESPN FPI,ESPN FPI,30.26,30.2,-0.060000000000002274,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,fei,FEI Projections,FEI,17.9,17.9,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,harville,David Harville,Harville,20.67,20.7,0.029999999999997584,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_jp,JP+,JP+,23.3,23.3,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_kford,KFord,KFord,27.3,27.3,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,keeper,Keeper,Keeper,33.5,33.5,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,massey,Massey Ratings,Massey,21.41,19.2,-2.210000000000001,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,moore_ratings,Moore Power Ratings,Moore Ratings,17.66,14.9,-2.76,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_oddstrader_ai,OddsTrader AI,OddsTrader AI,21.0,21.0,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,piratings,Pi-Ratings,PiRate,33.2,33.2,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,piratings_bias,PI-Rate Bias,PiRate: Bias,31.6,31.6,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,piratings_mean,Pi-Ratings Mean,PiRate: Mean,29.4,29.4,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_power_rank,Power Rank,Power Rank,32.3,32.3,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_power_rank_free,Power Rank: Free,Power Rank: Free,25.2,25.2,0.0,tableau_embedding_api_tooltip
2023_w1_sanjosestate_usc,2023,1,San Jose State,USC,linecfbp_professor_sides,Professor Sides,Professor Sides,35.7,35.7,0.0,tableau_embedding_api_tooltip
