source_row,season,week,away,home,picker,candidate_matches,reason
847,2023,2,Middle Tennessee,Alabama,Beta_Rank,0,no_match
848,2023,2,Middle Tennessee,Alabama,Blake Atkinson,0,no_match
849,2023,2,Middle Tennessee,Alabama,CBCR2: Power,0,no_match
850,2023,2,Middle Tennessee,Alabama,CBCR2: Sam,0,no_match
851,2023,2,Middle Tennessee,Alabama,CFB Geek,0,no_match
852,2023,2,Middle Tennessee,Alabama,CFB Graphs,0,no_match
853,2023,2,Middle Tennessee,Alabama,Congrove,0,no_match
854,2023,2,Middle Tennessee,Alabama,DRatings,0,no_match
855,2023,2,Middle Tennessee,Alabama,Dokter Entropy,0,no_match
856,2023,2,Middle Tennessee,Alabama,ESPN FPI,0,no_match
857,2023,2,Middle Tennessee,Alabama,FEI,0,no_match
858,2023,2,Middle Tennessee,Alabama,Harville,0,no_match
859,2023,2,Middle Tennessee,Alabama,JP+,0,no_match
860,2023,2,Middle Tennessee,Alabama,KFord,0,no_match
861,2023,2,Middle Tennessee,Alabama,Keeper,0,no_match
862,2023,2,Middle Tennessee,Alabama,Massey,0,no_match
863,2023,2,Middle Tennessee,Alabama,Moore Ratings,0,no_match
864,2023,2,Middle Tennessee,Alabama,OddsTrader AI,0,no_match
865,2023,2,Middle Tennessee,Alabama,PiRate,0,no_match
866,2023,2,Middle Tennessee,Alabama,PiRate: Bias,0,no_match
867,2023,2,Middle Tennessee,Alabama,PiRate: Mean,0,no_match
868,2023,2,Middle Tennessee,Alabama,Power Rank,0,no_match
869,2023,2,Middle Tennessee,Alabama,Power Rank: Free,0,no_match
870,2023,2,Middle Tennessee,Alabama,Professor Sides,0,no_match
871,2023,2,Middle Tennessee,Alabama,Room44 Bets,0,no_match
872,2023,2,Middle Tennessee,Alabama,SP+,0,no_match
873,2023,2,Middle Tennessee,Alabama,Sagarin,0,no_match
874,2023,2,Middle Tennessee,Alabama,Sagarin: Golden,0,no_match
875,2023,2,Middle Tennessee,Alabama,Sagarin: Predictor,0,no_match
876,2023,2,Middle Tennessee,Alabama,Sagarin: Recent,0,no_match
877,2023,2,Middle Tennessee,Alabama,SportsLine,0,no_match
878,2023,2,Middle Tennessee,Alabama,TShoe Index,0,no_match
879,2023,2,Middle Tennessee,Alabama,TeamRankings,0,no_match
880,2023,2,Middle Tennessee,Alabama,Wilson Ratings,0,no_match
1051,2023,2,Northern Illinois,Boston College,Beta_Rank,0,no_match
1052,2023,2,Northern Illinois,Boston College,Blake Atkinson,0,no_match
1053,2023,2,Northern Illinois,Boston College,CBCR2: Power,0,no_match
