ranking_method,top_n,top_n_label,line_reference,edge_cutoff_points,bets,wins,losses,pushes,ats_pct,wilson_low,wilson_high,units_flat,roi_flat,profitable_folds
incremental,10,10,Midweek,0.0,2382,1215,1167,44,0.5100755667506297,0.489999976618704,0.5301187102211935,-62.454545454545496,-0.026219372566979638,2
incremental,10,10,Midweek,0.5,779,401,378,15,0.5147625160462131,0.47967938174029573,0.5497007636173349,-13.454545454545439,-0.01727156027541135,4
incremental,10,10,Midweek,1.0,160,76,84,5,0.475,0.39911756557967737,0.5520547862528241,-14.909090909090907,-0.09318181818181817,2
incremental,10,10,Midweek,1.5,23,12,11,1,0.5217391304347826,0.3296242986421849,0.7076313046005427,-0.09090909090909172,-0.00395256916996051,1
incremental,10,10,Midweek,2.0,2,1,1,1,0.5,0.09452865480086614,0.9054713451991339,-0.09090909090909094,-0.04545454545454547,1
incremental,10,10,Midweek,3.0,1,1,0,0,1.0,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,1
incremental,10,10,Midweek,4.0,1,1,0,0,1.0,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,1
incremental,10,10,Open,0.0,2390,1205,1185,36,0.50418410041841,0.48414820496278077,0.5242065667146769,-89.5454545454545,-0.03746671738303536,1
incremental,10,10,Open,0.5,1394,721,673,19,0.5172166427546628,0.49097301318679254,0.5433656414933944,-17.545454545454618,-0.01258640928655281,2
incremental,10,10,Open,1.0,682,358,324,13,0.5249266862170088,0.4874124404121649,0.5621616886578711,1.454545454545439,0.002132764596107682,5
incremental,10,10,Open,1.5,299,163,136,8,0.5451505016722408,0.48849065520256707,0.6006648637221778,12.181818181818187,0.040741866828823366,4
incremental,10,10,Open,2.0,136,79,57,3,0.5808823529411765,0.4968497142013443,0.660471140251122,14.818181818181813,0.10895721925133686,7
incremental,10,10,Open,3.0,19,10,9,1,0.5263157894736842,0.31707482511825114,0.7267049451255145,0.09090909090908994,0.00478468899521526,3
incremental,10,10,Open,4.0,3,2,1,0,0.6666666666666666,0.2076549551264879,0.9385096847238394,0.8181818181818181,0.2727272727272727,1
incremental,15,15,Close (PT Updated/final),0.0,2374,1214,1160,52,0.5113732097725358,0.49126287027045673,0.5314468005503414,-56.36363636363649,-0.023742054070613517,3
incremental,15,15,Close (PT Updated/final),0.5,504,244,260,10,0.48412698412698413,0.4407815602995718,0.5277125528254656,-38.18181818181819,-0.07575757575757577,3
incremental,15,15,Close (PT Updated/final),1.0,65,30,35,1,0.46153846153846156,0.34590137149936684,0.5814681260137647,-7.727272727272727,-0.11888111888111887,4
incremental,15,15,Close (PT Updated/final),1.5,8,5,3,0,0.625,0.30573785458380187,0.863158240538479,1.545454545454545,0.19318181818181812,3
incremental,15,15,Close (PT Updated/final),2.0,0,0,0,0,,,,0.0,,0
incremental,15,15,Close (PT Updated/final),3.0,0,0,0,0,,,,0.0,,0
incremental,15,15,Close (PT Updated/final),4.0,0,0,0,0,,,,0.0,,0
incremental,15,15,Midweek,0.0,2382,1218,1164,44,0.5113350125944585,0.4912584750917614,0.5313750476031234,-56.72727272727275,-0.0238149759560339,1
incremental,15,15,Midweek,0.5,681,339,342,12,0.4977973568281938,0.46036186852434674,0.5352575564638549,-33.81818181818181,-0.049659591509811765,2
incremental,15,15,Midweek,1.0,111,44,67,2,0.3963963963963964,0.31033119486484406,0.48939294690956525,-27.0,-0.24324324324324326,0
incremental,15,15,Midweek,1.5,13,6,7,1,0.46153846153846156,0.2320575430148814,0.7085656756816796,-1.5454545454545459,-0.11888111888111891,2
incremental,15,15,Midweek,2.0,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.09090909090909094,-0.04545454545454547,1
incremental,15,15,Midweek,3.0,1,1,0,0,1.0,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,1
incremental,15,15,Midweek,4.0,1,1,0,0,1.0,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,1
incremental,15,15,Open,0.0,2390,1202,1188,36,0.502928870292887,0.48289463210565936,0.5229537080685611,-95.27272727272725,-0.03986306580448839,2
incremental,15,15,Open,0.5,1355,698,657,18,0.5151291512915129,0.488513212400474,0.541659546514178,-22.454545454545496,-0.01657162026165719,2
incremental,15,15,Open,1.0,616,318,298,13,0.5162337662337663,0.4767910020745796,0.5554753059628288,-8.909090909090935,-0.014462809917355414,4
incremental,15,15,Open,1.5,269,150,119,6,0.5576208178438662,0.4978697056075016,0.6157493319586174,17.363636363636346,0.06454883406556262,7
incremental,15,15,Open,2.0,100,57,43,4,0.57,0.4721521169586435,0.6626686099947162,8.818181818181813,0.08818181818181813,4
incremental,15,15,Open,3.0,14,9,5,1,0.6428571428571429,0.3876400468214042,0.8365550926279727,3.1818181818181817,0.22727272727272727,2
incremental,15,15,Open,4.0,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.09090909090909094,-0.04545454545454547,1
incremental,20,20,Close (PT Updated/final),0.0,2374,1226,1148,52,0.5164279696714406,0.49631510534776985,0.5364877525044941,-33.454545454545496,-0.01409205789997704,3
incremental,20,20,Close (PT Updated/final),0.5,375,182,193,6,0.48533333333333334,0.4351537640468415,0.5358103539380894,-27.54545454545456,-0.0734545454545455,2
incremental,20,20,Close (PT Updated/final),1.0,60,27,33,1,0.45,0.33093453853760824,0.575082854510185,-8.454545454545457,-0.14090909090909096,2
incremental,20,20,Close (PT Updated/final),1.5,5,2,3,0,0.4,0.1176182311592533,0.769280067791163,-1.1818181818181819,-0.2363636363636364,0
incremental,20,20,Close (PT Updated/final),2.0,1,0,1,0,0.0,0.0,0.7934567085261071,-1.0,-1.0,0
incremental,20,20,Close (PT Updated/final),3.0,0,0,0,0,,,,0.0,,0
incremental,20,20,Close (PT Updated/final),4.0,0,0,0,0,,,,0.0,,0
incremental,20,20,Midweek,0.0,2382,1207,1175,44,0.5067170445004198,0.48664460236896595,0.5267678555242988,-77.72727272727275,-0.032631096862834906,1
incremental,20,20,Midweek,0.5,516,261,255,9,0.5058139534883721,0.4627914831172999,0.5487504942850474,-17.727272727272748,-0.034355179704016955,2
incremental,20,20,Midweek,1.0,73,35,38,1,0.4794520547945205,0.36877263024700824,0.592186017152317,-6.181818181818183,-0.08468244084682443,3
incremental,20,20,Midweek,1.5,6,3,3,1,0.5,0.18761280689940868,0.8123871931005913,-0.27272727272727293,-0.04545454545454549,1
incremental,20,20,Midweek,2.0,2,1,1,0,0.5,0.09452865480086614,0.9054713451991339,-0.09090909090909094,-0.04545454545454547,1
incremental,20,20,Midweek,3.0,1,1,0,0,1.0,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,1
incremental,20,20,Midweek,4.0,1,1,0,0,1.0,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,1
