ranking_method,top_n,top_n_label,line_reference,oos_games,market_mae,signal_mae,mae_improvement,market_rmse,signal_rmse,rmse_improvement,residual_corr,mean_gamma,median_gamma,positive_gamma_folds,folds
incremental,25,25,Midweek,2426,12.084770273118034,12.08252066956904,0.002249603548992951,15.402706197306758,15.374478967033777,0.028227230272980464,0.07928818687664184,0.04169617268089213,0.07626421098960612,5,8
incremental,25,25,Open,2426,12.088022830804865,12.088373216555603,-0.00035038575073720324,15.32135190064805,15.312392884095233,0.008959016552816834,0.039884393019155764,0.2893835212594176,0.281959354779108,8,8
incremental,35,35,Close (PT Updated/final),2426,12.027149960394288,12.023000551346483,0.004149409047805364,15.2550385303133,15.254901982408297,0.00013654790500261527,0.005879764402789119,-0.04512133826951468,-0.032570958290740526,2,8
incremental,35,35,Midweek,2426,12.084770273118034,12.080351192484624,0.004419080633409678,15.402706197306758,15.384870513000564,0.017835684306193755,0.07781131324641112,-0.012505914758934781,0.01450535308590617,4,8
incremental,35,35,Open,2426,12.088022830804865,12.088039867163673,-1.7036358807231977e-05,15.32135190064805,15.313471365164066,0.007880535483984374,0.03381753082856755,0.21280713772356244,0.21504692212358473,8,8
incremental,999,All,Close (PT Updated/final),2426,12.027149960394288,12.024160174215233,0.0029897861790555424,15.2550385303133,15.264743272933153,-0.00970474261985288,0.0006671460856208475,-0.15233279459619453,-0.13966672491767224,0,8
incremental,999,All,Midweek,2426,12.084770273118034,12.08424555534881,0.0005247177692240257,15.402706197306758,15.429709248013564,-0.02700305070680642,0.0734145975470668,-0.13528670793590938,-0.11540090352854343,0,8
incremental,999,All,Open,2426,12.088022830804865,12.091098657888928,-0.00307582708406251,15.32135190064805,15.320799423919258,0.0005524767287923282,0.006210940724568483,0.05442000798500917,0.050086950990797435,8,8
mae,3,3,Close (PT Updated/final),1683,11.749340271383456,11.83613045690966,-0.08679018552620299,15.024567470698251,15.121484135827918,-0.09691666512966712,0.030914930420083662,-0.10124562244677633,0.0015247139964039702,4,8
mae,3,3,Midweek,1683,11.754038087108855,11.86032515109499,-0.10628706398613552,15.039313076712963,15.150701630077613,-0.11138855336464992,0.030140746882201166,-0.08528298989322525,0.039429587323488335,5,8
mae,3,3,Open,1683,11.835290679915827,11.929054067196112,-0.09376338728028522,15.11724657299553,15.202263896530283,-0.08501732353475333,0.05248958760802983,0.06399865685844083,0.23048778416545068,6,8
mae,5,5,Close (PT Updated/final),1875,11.745514060393736,11.771567369831747,-0.02605330943801043,15.022642422635128,15.042471148572085,-0.01982872593695717,0.030204799633653703,-0.06451016906023517,0.0034281350794007626,5,8
mae,5,5,Midweek,1875,11.750677431479678,11.803532203111216,-0.05285477163153729,15.027148938157982,15.06247637989849,-0.03532744174050784,0.026551557681098376,-0.05533088416644464,0.051683446320613724,5,8
mae,5,5,Open,1875,11.83544560483533,11.879689874168758,-0.04424426933342751,15.107994149665588,15.122278513709643,-0.014284364044055309,0.051082306595544934,0.116891473656647,0.2133299759081142,7,8
mae,8,8,Close (PT Updated/final),2080,11.843181809242633,11.847001427419498,-0.003819618176864381,15.089851523857046,15.091513304203344,-0.0016617803462981584,0.04646917862467382,0.015502833705975539,0.0063594289028114925,6,8
mae,8,8,Midweek,2080,11.858866985605857,11.863625333617403,-0.004758348011545621,15.104520278222738,15.103179335122533,0.0013409431002049388,0.04759570416434468,0.04269048908941774,0.054915869436399034,7,8
mae,8,8,Open,2080,11.931092900477994,11.925740680353382,0.005352220124612117,15.176701565341299,15.148213259458807,0.02848830588249207,0.07065331402307676,0.2338519560887793,0.28208281007630787,8,8
mae,10,10,Close (PT Updated/final),2323,12.02185139484355,12.019106282325659,0.002745112517891002,15.241260421836415,15.237805025696918,0.003455396139496969,0.03532728504524483,0.031847565471374975,0.0438060186710342,6,8
mae,10,10,Midweek,2323,12.079869698796395,12.07354030018874,0.006329398607656245,15.395118389781512,15.364754748848746,0.03036364093276589,0.11053742587377449,0.06861940708835483,0.0933180619420596,6,8
mae,10,10,Open,2323,12.088518803790443,12.078245036041022,0.010273767749421125,15.313248289119924,15.290200258847907,0.023048030272017073,0.05404343019242722,0.2666764428619029,0.2855428219349466,8,8
mae,15,15,Close (PT Updated/final),2426,12.027149960394288,12.028004254926744,-0.0008542945324556683,15.2550385303133,15.252976823154567,0.002061707158732773,0.029800831559596903,0.03299555769903661,0.04413284534004608,7,8
mae,15,15,Midweek,2426,12.084770273118034,12.083425016609059,0.001345256508974657,15.402706197306758,15.38037491703825,0.02233128026850828,0.1043094421291064,0.07412959036115846,0.0723381365230783,8,8
mae,15,15,Open,2426,12.088022830804865,12.083952801006898,0.004070029797967223,15.32135190064805,15.303630247953445,0.017721652694605794,0.04658831434221191,0.2895693391675635,0.30878384568742623,8,8
mae,20,20,Close (PT Updated/final),2426,12.027149960394288,12.027871659028337,-0.0007216986340488063,15.2550385303133,15.255534306464996,-0.000495776151696603,0.031426413300145395,0.0017052708104501396,0.01141709467812102,6,8
mae,20,20,Midweek,2426,12.084770273118034,12.084942629334288,-0.0001723562162538883,15.402706197306758,15.39474814367352,0.007958053633238649,0.10496717503830935,0.03912109419606274,0.0503380451509039,6,8
mae,20,20,Open,2426,12.088022830804865,12.08043323961313,0.007589591191734968,15.32135190064805,15.304115698972849,0.017236201675201457,0.04628567141042013,0.25932136584364374,0.25956326678118224,8,8
mae,25,25,Close (PT Updated/final),2426,12.027149960394288,12.028783781370802,-0.0016338209765134337,15.2550385303133,15.256296247589901,-0.001257717276601511,0.02651594634609275,-0.008642728791093249,0.004386654621557962,4,8
mae,25,25,Midweek,2426,12.084770273118034,12.085446272470412,-0.0006759993523779428,15.402706197306758,15.390248031298686,0.012458166008071814,0.10020062979146446,0.02726829765854715,0.0539708139706635,6,8
mae,25,25,Open,2426,12.088022830804865,12.083957279756689,0.00406555104817663,15.32135190064805,15.308319812813933,0.01303208783411769,0.039519913187634814,0.2418342419046184,0.23727188256739346,8,8
