lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepve,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linesag,linesagpred,linesaggm,linesagr,linenewbury,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,linelaz,linekam,linel2hf,linekerns,lineteamrank,linefluker,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineborn,lineavg,linestd,linemedian,phcover,phwin,lineca
9.0,7.0,Middle Tenn.,Jacksonville St.,10.0,,,7.0,17.77,14.98,6.691,8.77,11.791,10.6,15.3,14.9,15.1,4.1,3.1,8.27,9.5,,8.1,11.28,12.14,12.36,4.43,25.94,6.97,4,6.5947777502,10.68,,,14.835617309,0,,1.26,12.26,5.530253164,3.8,8.6094,,0.7,9.5,9.7,,12.25,-4,8.99,-2.079,5.19,5.43,,9.1932381111,5.317119168,9.245,0.5375185166,0.7078744449,7.0
4.0,3.5,Ball St.,Kent,2.0,,,3.5,6.27,12.18,4.006,-0.58,0.035,4.0,7.6,7.0,7.7,1.0,5.26,-0.52,10.0,,1.7,5.46,5.61,6.2,2.17,1.17,-1.44,-1,0.4570196361,4.26,,,7.5783445625,0,,7.2,6.09,8.707473315,1.31,3.4856,,-2.1,2.0,4.1,,4.1755,-4,8.59,8.62,0.33,-0.35,,3.9546036188,3.6089469217,4.053,0.5078994921,0.5956125177,3.5
19.5,20.5,South Alabama,Kentucky,10.5,,,20.5,27.13,14.48,21.257,18.22,23.661,20.7,29.5,25.9,27.3,19.4,12.13,20.27,8.0,,12.8,25.56,25.67,26.82,22.82,6.01,22.8,19,19.209026596,19.16,,,20.37466718,0,,6.0,19.12,16.849597472,18.84,16.2106,,8.5,21.6,17.0,,25.2,6,20.85,26.652,17.44,23.45,,19.378523454,6.1343580892,19.835,0.4809580606,0.8717622222,20.5
8.5,8.5,Texas A&M,LSU,6.5,,,8.5,1.87,0.57,4.112,0.86,13.79,3.6,2.7,3.1,2.9,-0.1,5.96,1.08,-7.0,,4.3,5.86,5.77,5.8,5.76,6.21,4.33,-1,4.4683704787,-1.52,,,0.3388299883,0,,9.09,6.99,5.955651165,3.95,3.7072,,-5.0,7.3,6.2,,0.35,2,1.58,1.42,4.65,7.81,,3.5332118851,3.8111079491,4.031,0.4144765616,0.5853558207,7.5
-13.5,-13.5,Florida Atlantic,Louisiana-Monroe,-9.5,,,-13.5,-8.25,-7.62,-17.198,-6.3,-21.726,-8.7,-9.7,-9.4,-9.4,-7.2,-11.85,-7.66,1.0,,-7.9,-6.76,-7.1,-7.3,-4.99,-8.99,-11.09,-17,-10.05138438,-8.33,,,-12.46883375,0,,-9.72,-16.52,-17.03104221,-9.75,-6.4774,,-23.0,-12.7,-8.8,,-5.705,-22,-19.22,-13.85,-5.74,-15.99,,-10.52599106,4.9648377674,-9.4,0.5509814198,0.2641606371,-13.0
13.0,13.5,Wake Forest,Louisville,13.0,,,13.5,8.32,12.62,7.893,10.22,9.703,7.3,11.6,13.1,13.3,10.1,10.37,12.7,4.0,,11.3,12.66,12.86,13.29,10.5,15.68,14.76,11,11.85020575,10.38,,,16.162037045,0,,23.29,15.04,12.583994937,8.58,17.4054,,-0.2,13.7,11.5,,10.9725,8,14.13,12.745,13.79,6.45,,11.701450993,3.8574716261,12.217100344,0.4688318372,0.7622655448,13.5
-2.5,-1.5,UCLA,Maryland,-0.5,,,-1.5,-1.44,3.56,-1.948,1.08,6.029,-7.7,0.4,1.0,0.9,-1.4,-2.65,-0.07,0.5,,-2.7,1.61,1.57,0.03,7.3,2.12,1.91,1,2.5219172487,0.09,,,-3.518331016,0,,0.11,-0.71,-3.363774132,-4.51,-4.6423,,-9.1,1.2,-3.6,,1.2985,4,-5.7,-4.794,-0.96,-3.75,,-0.758604945,3.3753411565,-0.02,0.5129015508,0.4814294772,-1.5
42.0,41.5,Central Mich.,Miami (Fla.),25.0,,,41.5,47.37,32.61,28.965,36.76,33.057,43.8,49.1,47.6,48.9,37.5,15.67,40.55,21.5,,27.0,38.89,40.5,41.56,29.5,40.21,40.31,49,45.69219434,40.37,,,48.115121138,0,,41.81,31.08,40.402124732,33.91,42.6786,,53.0,45.5,39.3,,38.64,37,41.02,45.241,31.37,39.43,,38.760816848,8.2624006379,40.34,0.4548104488,0.9845811217,41.5
3.5,3.5,Connecticut,Miami (Ohio),2.0,,,3.5,3.45,7.35,4.079,-3.37,1.211,1.5,2.6,3.2,2.2,2.6,-0.24,-0.78,2.5,,3.0,3.35,3.37,4.47,-2.2,6.14,-4.2,-9,-0.09516385,-3.1,,,8.1803162561,0,,-10.29,-0.06,7.204995506,-4.49,2.598,,-4.7,-2.4,7.0,,5.1625,-14,2.29,-6.966,2.46,-2.73,,0.876174945,4.4501496555,2.245,0.454791366,0.5211143749,3.5
4.5,5.5,Iowa,Michigan,5.5,,,5.5,1.84,8.28,5.952,-1.37,-2.618,11.5,4.5,4.4,4.4,2.0,6.34,2.87,3.5,,4.9,6.35,6.82,8.15,0.91,10.47,-3.37,-2,5.3018699542,-0.57,,,2.3959506434,0,,-1.3,1.66,-0.944291631,-1.02,-6.9098,,2.4,4.8,2.9,,5.25,-7,3.52,-4.827,5.24,1.01,,2.8481770781,4.0746596702,3.2,0.4541740636,0.5687298389,5.5
-4.5,-5.5,Nebraska,Michigan St.,0.01,,,-5.5,-7.09,-13.14,-4.041,-4.54,-1.564,6.9,-8.5,-8.4,-8.7,-3.0,-0.35,-3.09,-5.0,,-5.3,-0.27,-0.46,-1.51,4.96,-10.84,-4.58,-7,-7.842119106,-2.96,,,-7.173843586,0,,-10.44,-1.45,-2.788669722,-3.18,-4.3718,,-12.8,-2.2,-3.2,,-8.75,-11,-2.8,-1.063,-1.4,-10.89,,-4.442748221,4.4101120813,-3.6205,0.518255358,0.39409318,-5.5
3.5,6.5,Missouri,Mississippi St.,-0.5,,,6.5,10.8,7.1,2.109,8.31,8.621,9.4,1.9,0.1,1.4,3.4,8.01,2.71,-5.5,,-0.4,6.87,6.14,3.45,21.75,-5.03,16.16,18,6.1555828557,2.64,,,2.0228401934,0,,22.78,10.69,3.672936837,15.99,2.3948,,16.9,7.4,2.4,,-7.875,2,2.57,9.621,3.95,-2.73,,5.8784778917,7.1227331425,3.8114684185,0.489567331,0.6318465292,6.5
14.0,14.0,Appalachian St.,NC St.,4.5,,,14.0,19.02,16.08,12.576,17.26,13.472,13.7,30.7,26.1,29.1,14.5,7.23,18.32,14.0,,12.4,19.79,20.78,20.53,14.72,16.17,16.63,10,9.4809486052,20.63,,,24.798487287,0,,7.62,19.66,13.496490504,6.0,16.3773,,2.8,15.0,22.6,,24.85,-5,14.23,19.323,11.16,12.23,,15.995637537,6.4382631335,15.54,0.5337403848,0.8239673052,14.0
-4.5,-5.5,Air Force,Nevada,-2.5,,,-5.5,-2.9,-4.57,-3.537,-0.87,-5.775,2.8,-4.8,-3.9,-5.8,-2.8,-6.93,-3.98,7.5,,-5.1,1.07,1.49,0.43,1.43,-8.95,-0.57,-5,-1.093219553,-1.85,,,-7.096015643,0,,-8.12,-2.87,-0.305954227,2.58,2.0894,,28.4,-7.7,-2.1,,-6.426,-10,-7.54,15.483,-0.25,-7.15,,-1.50554709,6.8582522571,-2.835,0.5669603202,0.4654259124,-5.0
-13.0,-11.5,New Mexico,New Mexico St.,-6.5,,,-11.5,-21.82,-9.43,-15.368,-13.46,-20.615,-8.0,-20.0,-17.6,-20.1,-14.1,-12.32,-11.59,-5.5,,-11.0,-10.42,-10.72,-9.5,-17.29,-10.44,-21.96,-29,-15.08701292,-14.36,,,-20.16829859,0,,-12.08,-10.78,-13.5575813,-15.22,-16.9408,,-11.6,-19.6,-13.9,,-12.2885,-19,-16.44,-25.629,-9.87,-22.45,,-14.91326823,5.336541873,-14.0,0.4417445086,0.1874534734,-11.5
27.0,27.0,Illinois,Ohio St.,19.0,,,27.0,20.77,22.86,13.175,18.58,25.242,14.3,23.9,24.9,25.3,19.3,13.06,24.13,18.5,,22.5,20.91,20.58,22.67,19.16,34.58,22.75,27,25.590568214,19.23,,,28.606635325,0,,14.13,26.14,19.102596047,15.14,22.9598,,31.8,27.7,21.8,,12.236,9,24.73,24.492,20.55,11.55,,21.550647358,5.2868890582,22.15,0.4074613284,0.9003298673,26.0
-4.5,-6.0,James Madison,Old Dominion,-9.0,,,-6.0,-10.06,-1.82,-6.015,-14.87,-23.265,-4.9,-3.4,-3.7,-3.8,-8.7,-7.9,-9.2,-2.0,,-3.1,-3.64,-4.54,-2.03,-8.79,-6.37,-17.14,-20,-9.092582753,-7.71,,,-7.948493261,0,,-12.46,-4.41,-10.99349506,-8.31,-5.5018,,-9.5,-13.8,-5.5,,-4.795,-26,-12.41,-9.65,-6.51,-13.95,,-8.33635187,4.9624278683,-7.92424663,0.4599067056,0.3087419572,-6.0
9.5,10.0,Wisconsin,Penn St.,20.0,,,10.0,12.62,13.59,9.799,15.6,15.12,9.0,13.2,16.6,15.7,15.8,11.85,18.75,15.0,,11.2,10.63,9.96,10.46,14.2,15.35,13.89,16,16.69641854,17.95,,,12.563043304,0,,17.35,22.32,15.917041064,13.22,16.6754,,29.0,13.8,11.6,,13.3595,15,18.26,15.27,14.39,17.67,,15.009484287,3.7591928632,15.06,0.5862786934,0.8203304814,11.0
-27.5,-28.0,Notre Dame,Purdue,-29.0,,,-28.0,-29.42,-23.37,-16.829,-25.34,-26.45,-54.0,-30.9,-33.9,-35.8,-27.2,-12.72,-27.14,-23.5,,-25.5,-18.76,-16.98,-20.4,-23.08,-36.4,-30.52,-36,-27.94028706,-29.14,,,-31.02362968,0,,-32.45,-23.65,-21.95420398,-24.38,-34.0651,,-37.3,-28.5,-27.2,,-24.703,-21,-28.13,-31.875,-24.66,-28.23,,-27.85290055,7.1454321284,-27.57014353,0.5024687218,0.0553893428,-28.0
34.5,34.5,Missouri St.,SMU,25.5,,,34.5,31.84,31.65,28.895,25.92,26.721,18.3,40.4,39.9,41.6,25.3,15.95,31.51,17.0,,27.0,32.96,33.89,34.93,25.72,31.38,31.96,29,29.367243929,25.87,,,38.950822614,0,,25.11,28.48,23.140139797,23.69,37.4397,,50.5,33.8,33.9,,35.2975,16,30.58,36.111,29.28,31.95,,30.547168588,6.9364705283,30.98,0.4337939533,0.9605801586,34.0
-6.5,-4.0,Massachusetts,Sacramento St.,-6.5,,,-4.0,-3.69,-5.72,-3.255,-2.51,-7.32,5.8,1.7,0.9,3.9,-1.0,-11.47,4.72,4.5,,-4.8,0.91,1.13,5.02,-15.98,6.84,-10.91,-13,-9.477846186,9.56,,,11.435129244,0,,-11.17,7.9,-2.519459127,-12.78,-2.3672,,-29.3,-3.8,3.7,,5.439,-19,0.85,-40.762,-3.36,-4.77,,-3.477825686,10.206718551,-2.514729564,0.5083779389,0.4270995543,-4.0
-5.0,-3.5,Georgia Tech,Stanford,-3.0,,,-3.5,-9.17,-2.18,-3.541,-4.59,3.156,3.0,-6.5,-8.3,-8.6,-8.4,-1.35,-9.55,-7.0,,-3.5,-3.37,-4.73,-3.32,-2.03,-12.97,-11.19,-3,-6.216371054,-9.73,,,-8.896346514,0,,-10.62,-2.51,3.790996997,-6.61,-11.9408,,-7.0,-6.2,-5.8,,-12.25,-9,-0.25,-1.461,-3.62,-4.09,,-5.356276857,4.2132640745,-5.265,0.4679203532,0.372620662,-3.5
-3.0,-3.0,Army,Temple,-5.0,,,-3.0,-5.09,-2.62,-1.626,-3.34,-3.708,4.1,-3.9,-4.0,-4.8,-6.8,-3.02,-6.28,-2.0,,-3.5,0.31,0.72,0.15,-3.1,-2.44,-5.18,-11,-1.23755561,-2.65,,,-1.825771042,0,,-8.04,1.16,-0.639842403,-3.2,-7.4632,,4.6,-5.8,-4.1,,-6.3,-17,2.6,-6.143,-7.9,-6.47,,-3.303509712,3.3733980041,-3.42,0.4947175758,0.4196504796,-3.0
-5.5,-4.0,Texas,Tennessee,-6.0,,,-4.0,-4.17,-4.19,-4.645,-4.21,-0.143,-10.8,-4.3,-5.1,-4.8,-2.0,-8.73,-2.46,1.5,,-5.3,-2.5,-1.59,-2.72,-5.97,-0.68,-7.23,-14,-7.209717131,-1.92,,,-1.719951714,0,,-4.28,-4.9,-1.258398669,-6.99,-3.2502,,-5.3,-9.1,-3.6,,-0.8575,-1,-5.32,-10.726,-3.95,-3.75,,-4.583414935,3.1745643027,-4.245,0.4898341735,0.3889533136,-4.0
38.0,34.5,Sam Houston St.,Texas Tech,26.5,,,34.5,28.38,31.01,34.374,27.22,30.777,54.0,49.4,46.7,50.4,34.3,9.49,36.15,33.0,,33.0,31.54,32.41,40.94,3.56,34.5,18.05,25,28.62434383,42.29,,,41.475007372,0,,4.51,35.98,29.725479658,14.06,40.7097,,23.3,30.1,38.5,,47.39,8,38.97,50.135,28.26,41.47,,32.794750812,11.949132808,33.0,0.4734742914,0.9501566003,34.5
12.5,13.5,Colorado St.,Texas-San Antonio,13.5,,,13.5,22.52,9.92,19.216,8.02,23.757,11.5,15.4,15.4,16.7,13.6,11.53,13.29,17.0,,7.0,12.1,11.43,12.42,14.59,15.78,8.75,6,7.572623272,16.73,,,17.369655675,0,,-4.3,17.64,11.011944475,6.08,16.9377,,6.1,9.3,13.5,,22.12,-4,12.05,15.941,15.17,11.21,,12.996208511,5.3406399421,13.395,0.4913718402,0.7802971204,13.5
